艪	櫓
緑	氯
緑	綠
屡	屢
栾	欒
乱	亂
畧	略
崘	侖
崙	侖
覼	覙
臝	裸
罵	駡
売	賣
脉	脈
麦	麥
蛮	蠻
満	滿
氂	犛
皃	貌
猫	貓
么	麼
槑	梅
没	沒
苺	莓
霉	黴
凂	浼
懞	蒙
濛	蒙
夣	夢
梦	夢
懜	懵
弥	彌
瀰	彌
祢	禰
醿	醾
羃	冪
祕	秘
覔	覓
侎	敉
麪	面
玅	妙
眇	緲
烕	滅
衊	蔑
哶	咩
勄	敏
朙	明
麽	麼
殁	歿
黙	默
万	萬
畆	畝
拏	拿
挐	拿
耏	耐
廼	乃
妳	奶
嬭	奶
諵	喃
枏	楠
閙	鬧
匘	腦
碯	瑙
内	內
昵	暱
伱	你
孃	娘
醸	釀
裊	嫋
樢	蔦
嚙	齧
囓	齧
孼	孽
蘖	櫱
揑	捏
寍	寧
宁	寧
寗	甯
牜	牛
鎒	耨
煖	暖
糯	稬
呕	嘔
欧	歐
殴	毆
瓯	甌
棑	簰
龐	龎
霶	雱
礟	炮
疱	皰
抛	拋
蟚	蟛
鬅	髼
掽	碰
毘	毗
辟	闢
鸊	鷿
疋	匹
磇	砒
飃	飄
嚬	顰
凴	憑
凭	憑
苹	蘋
舗	鋪
朴	樸
仆	僕
扑	撲
亝	齊
埼	崎
嵜	崎
㟢	崎
斉	齊
旂	旗
棊	棋
噐	器
弃	棄
憇	憩
気	氣
气	氣
炁	氣
启	啓
凄	悽
淒	悽
栖	棲
桼	漆
㯃	漆
䯊	髂
潜	潛
銭	錢
壍	塹
浅	淺
迁	遷
墻	牆
繦	襁
顦	憔
荍	蕎
墝	磽
鍫	鍬
䯨	繑
匧	篋
窃	竊
捦	擒
寝	寢
竆	窮
虬	虯
坵	丘
秋	鞧
鰍	鰌
鸜	朐
区	區
敺	驅
躯	軀
麹	麴
洤	泉
犭	犬
却	卻
确	確
群	羣
蚦	蚺
冄	冉
譲	讓
遶	繞
亻	人
刄	刃
姙	妊
荣	榮
熔	鎔
蝡	蠕
輭	軟
甤	蕤
叡	睿
蜹	蚋
閠	閏
洒	灑
顋	腮
三	叁
騒	騷
澁	澀
濇	澀
厦	廈
儍	傻
刹	剎
魦	鯊
晒	曬
簛	篩
簁	篩
饍	膳
蟺	蟮
鱓	鱔
膻	羶
渗	滲
訠	矧
侁	詵
駪	詵
縄	繩
圣	聖
声	聲
鉎	鍟
寔	實
旹	時
飠	食
亊	事
弑	弒
礻	示
舓	舐
釈	釋
餝	飾
尸	屍
湿	濕
虱	蝨
寿	壽
収	收
数	數
竪	豎
属	屬
倐	倏
尗	綀
枢	樞
疎	疏
㕞	刷
双	雙
厮	廝
傁	叟
䉤	籔
薮	藪
塐	塑
愬	訴
泝	溯
㴑	溯
囌	蘇
甦	穌
随	隨
亗	歲
歳	歲
笋	筍
鶽	隼
飱	飧
墖	塔
牠	他
枱	台
檯	台
臺	台
擡	抬
罎	壇
壜	罈
歎	嘆
傏	搪
餹	糖
匋	陶
咷	啕
鞀	鼗
鞉	鼗
弢	韜
搯	掏
涛	濤
絛	縚
嗁	啼
蹏	蹄
体	體
覥	靦
条	條
銕	鐵
听	聽
同	仝
亠	頭
偸	偷
圕	圖
涂	塗
兎	兔
團	糰
頽	頹
頽	頹
蛻	蜕
蛻	蜕
豘	豚
呑	吞
槖	橐
侂	託
托	託
拕	拖
膃	腽
袜	襪
韤	襪
洼	窪
鼃	蛙
卍	萬
晩	晚
椀	碗
弯	彎
湾	灣
兦	亡
朢	望
㓁	網
徃	往
网	網
尣	尢
潙	溈
爲	為
餧	喂
猬	蝟
衛	衞
僞	偽
廆	薳
蔿	蒍
蟁	蚊
穏	穩
溫	温
轀	輼
鰮	鰛
瓮	甕
甕	罋
臥	卧
吴	吳
呉	吳
无	無
隖	塢
悞	誤
珷	碔
杇	圬
汙	污
汚	污
洿	污
係	系
憙	喜
壐	璽
蹝	屣
躧	屣
噏	吸
嵠	舾
晳	晰
熈	熙
侠	俠
峡	峽
狭	狹
吓	嚇
咸	鹹
啣	銜
㘅	銜
嫻	嫺
贒	賢
閑	閒
閑	閒
献	獻
綫	線
羡	羨
㬎	顯
玁	獫
険	險
僊	仙
杴	鍁
籼	秈
纎	纖
嚮	向
响	響
鮝	鯗
㐮	襄
郷	鄉
瓖	鑲
鄕	鄉
殽	淆
効	效
咲	笑
梟	鴞
恊	協
挟	挾
携	攜
脇	脅
諧	龤
鞵	鞋
洩	泄
泻	瀉
冩	寫
写	寫
蝎	蠍
顖	囟
衅	釁
㣺	心
銒	鈃
倖	幸
莕	荇
凶	兇
汹	洶
齅	嗅
銹	鏽
鏥	鏽
勗	勖
卹	恤
叙	敍
敘	敍
壻	婿
続	續
緖	緒
吁	籲
嘘	噓
虚	虛
璿	璇
楥	楦
蘐	萱
学	學
斈	學
鞾	靴
侚	殉
狥	殉
勛	勳
塤	壎
熏	燻
厓	崖
亜	亞
鐚	錏
鵶	鴉
塩	鹽
岩	巖
揅	研
閆	閻
顔	顏
偐	贗
嚥	咽
喭	唁
宴	讌
彦	彥
燄	焰
豓	艶
鴈	雁
騐	驗
揜	掩
鼹	鼴
剦	閹
烟	煙
菸	煙
臙	胭
腌	醃
阳	陽
瀁	羕
养	養
痒	癢
傜	徭
瑶	瑤
窑	窯
窰	窯
肴	餚
遥	遙
燿	耀
薬	藥
齩	咬
捓	揶
叶	葉
䈎	頁
埜	野
宐	宜
椸	箷
埶	藝
异	異
秇	藝
䆿	讛
訳	譯
駅	驛
㠯	以
檥	艤
苢	苡
弌	一
医	醫
吚	咿
衤	衣
婬	淫
乚	隱
螾	蚓
隠	隱
垔	陻
婣	姻
阴	陰
蛍	蠅
暎	映
頴	穎
孾	嬰
甖	罌
鸎	鶯
咏	詠
埇	甬
慂	恿
涌	湧
踊	踴
佣	傭
廱	雍
雝	雍
游	遊
犹	猶
肬	疣
櫌	耰
于	於
伃	妤
余	餘
余	餘
兪	俞
娯	娛
楡	榆
欤	歟
漁	䱷
喩	喻
慾	欲
欝	鬱
龥	籲
誉	譽
郁	鬱
饇	飫
与	與
俣	俁
园	園
猨	猿
蝯	猿
縁	緣
愿	願
寃	冤
渊	淵
岳	嶽
戉	鉞
禴	礿
粤	粵
粤	粵
云	雲
匀	勻
蕓	芸
慍	愠
縕	緼
縕	緼
縕	緼
蘊	藴
蘊	藴
运	運
醞	醖
醞	醖
醞	醖
韵	韻
磒	隕
氳	氲
蒕	蒀
襍	雜
迊	匝
帀	咂
灾	災
烖	災
賛	贊
攅	攢
塟	葬
賍	贓
唕	唣
喿	噪
竈	灶
皁	皂
躁	趮
遭	蹧
増	增
咤	吒
摣	揸
斎	齋
占	佔
毡	氈
氊	氈
痮	脹
櫂	棹
炤	照
䈇	罩
肈	肇
爫	爪
喆	哲
悊	哲
㯰	矺
讁	謫
輙	輒
襵	褶
遉	偵
珎	珍
碪	砧
鍼	針
鍼	針
証	證
抍	拯
争	爭
征	徵
烝	蒸
筝	箏
値	值
軄	職
跖	蹠
乿	紩
寘	置
旘	幟
扻	贄
滞	滯
稺	稚
貭	質
帋	紙
肢	胑
众	眾
衆	眾
塚	冢
尰	腫
种	種
鐘	鍾
伷	胄
冑	胄
呪	咒
昼	晝
筑	築
筯	箸
鋳	鑄
嘱	囑
煑	煮
瞩	矚
潴	瀦
猪	豬
䐗	鼄
檛	簻
籑	饌
塼	磚
甎	磚
壮	壯
状	狀
庄	莊
装	裝
准	準
眦	眥
姉	姊
咨	諮
嗞	諮
玆	茲
糉	粽
縦	縱
偬	傯
摠	總
総	縂
椶	棕
踪	蹤
騌	騣
郰	鄹
辠	罪
酔	醉
墫	樽
