japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
俔				うかがう	ケン,ゲン	like
俛				ふせる	ベン,メン,フ	make effort, endeavor; to lower the head
俢				おさめる,おさまる	シュウ	
俤				おもかげ		(same as 面影 in Japanese), visage, face; trace, shadow; memory
俥				くるま		rickshaw, cart, vehicle; name of piece in Chinese chess
俰				やわらぐ	カ,ワ	
俲				ならう	コウ	(same as 傚) imitate, mimic
俵				たわら	ヒョウ	divide, distribute
俶				よい,はじめ	シュク,テキ	start, begin; beginning; arrange
俼				かゆ,ひさぐ	イク,キク,シュク	
俽				よろこぶ	キン,コン	
俿				かたたがい	チ,ジ	
倁				ゆく	チ,ジ	
倂				あわせる,ならぶ,しかし	ヘイ	combine
倄				もとる,そこなう	コウ,ギョウ,カイ,エ	
倅				せがれ	サイ,ソツ,セ,ソチ	deputy, vice-
倇				たのしむ,よろこぶ,すすめる	エン,オン	
倊				くるしむ	ソウ,ス	
倎				あつい	テン	
倓				やすい,しずか	タン,ダン	
倗				たすける,ゆだねる,よせる	ホウ,ボウ	
倛				あざむく	キ	
倝				かがやく	カン	sunrise; dawn
倞				つよい,あきらか,とおい,もとめる,きそふ	ケイ,キョウ,リョウ,オウ,ギョウ	far
倢				さとい,すこやか,はやい,つぐそしる	ショウ	beautiful, handsome; woman
倧					ソウ,ス	
倰				おかす,あぎむく,ながい	リョウ,ロウ	
倲				おろかなさま	トウ,ツ	(simplified form) rude; barbarous, stupid; dull, last name
倳				さす,さしこむ	シ	to stick in, to stab; to erect
倵					ブ,ム	
倶				ともに	ク,グ	all
倹				つずまやか,つづまやか,つましい	ケン	temperate, frugal, economical
㑨				また		great; big; tall; vast, noble; high in rank, very; much
㑪					サイ,ザイ,セイ	(non-classical form of 儕) a generation, a class; a series; a kind
倻				や	ヤ	phonetic used in Korean place names
偀				はなぶさ	エイ	
偂				すすむ	セン	
偅				こども	ショウ,シュ,トウ	
偆				あつい,うごめく,とむ	シュン	
偊				くぐまるさま,つつしむさま	ウ,ク	to walk alone; self-reliant
偑					フウ,フ	(simplified form of 偑) name of a place, last name
偒				まつすぐ	トウ	pond, pool; wash away, cleanse
偓				かかはるさま	アク	to fuss
偖				さて	シャ	rip up, tear down; raise; haul
偗				まつすぐなさま	セイ,シャウ,ショウ	
偙				すぐれる	テイ,タイ	
偟				たたずむ,さまよふ,たちもとほる,いとま	クワウ,ワウ,コウ,オウ	agitated; alarmed
偠				しなやか,たおやか	エウ,ヨウ	
偢				いつくしまない,うれへるさま	セウ,ショウ	to stare at
偣				きよい	エン,アン	
偦				とおる	ショ	
偧				はる	タ	
偭				むかう,そむく,かなう	ベン,メン	transgress
偰				きよい	セツ,セチ	an ancestor of the Shāng emperors, said to be one of Shùn’s ministers
偱				のべる	シュン	
偲				しのぶ,しのび	シ,サイ	talented; urgent
傃				むかう,まもる	ソ	
傄				すこやかなさま	カツ,ケチ	
傆				こざかしい	ゲン,ガン,カン	
傊				まさる,ゆたか	イン	
傎				さかさま,くるふ	テン	topple
傐					コウ,ゴウ	
傒				あやふい,つなぐ	ケイ,ゲイ	personal name; servant
傓				さかん	セン	
傔				したがう,はべる,つかえる	ケン	servant
傕					カク	used in old names
傚				ならう	コウ,ゴウ	imitate, mimic
傛				かがむ	ヨウ,ユ	
傞					サ	unsteady
傟				もとる	アウ,オウ	
傠				そむく,うつ	ハツ,ボチ,カ	
傡				なみ,ならべる,ならぶ,ならびに	ヘイ	
傪				よい,よいさま	サン	
傰				とも,ともがら,おもねりくみする	ホウ,ボウ	
傱				はやいさま	ショウ,シュ,ソウ	
傹				つよい,たおす	キョウ,ゴウ,ギョウ,コウ,ケイ	
傽				おどろく	ショウ	terror-stricken
僀				くるしむ	テイ	
僃				そなえる,そなわる	ビ	prepared
僄				かるい,かろんずる,すばやい,はやい	ヘウ,ヒョウ	light; airy
僇				はじ,はずかしめる,ころす	リク,ロク,ル,リュウ,リョウ	humiliate; treat with contempt
僌				おさめる	ヨウ	
働				はたらく,はたらき	ドウ	labor; work
僎				そなえる,かず,かぞえる	セン,シュン,ゼン	collect
僐				おつくりする	セン,ゼン	
僓				ならう,みやびやか,したがふ	タイ,デ,カイ,エ,テ,ツイ,ケ,ズイ,ガイ	
僔				あつまる,おおい,うやうやしい	ソン	
僘				ひろい	ショウ	
僙				たけだけしいさま	コウ	
僜				あがる	トウ,ドウ,ショウ,チョウ	Dèng ethnic group of Tibet
僝				そなえる,ののしる,あらわす	サン,ゼン,セン	to revile; to abuse
僟				よくつつしむ,ちかい	キ,ゲ	
僡					ケイ	favor, benefit, confer kindness
僢				そむく,むかいあう,まじる	セン,シュン	
僣				おごる	セン,シン,テツ,テチ	assume, usurp
僤				はやい,あつい,あきらか,ゆるぐ	タン,ダン,セン,ゼン,タツ,タチ	sincere
僧						
僩				たけだけしいさま	カン,ゲン,ケン	courageous; martial; dignified
僯				はじる	リン	ashamed
僲					セン	
僶				つとめる	ビン,ミン	forcefully
僺				ながいさま	ショウ	
僾				ほのか,かくれる,むせぶ,かなしむ	アイ,イ	like
儁				すぐれる	シュン	outstanding, fine; superior; talented, capable; handsome
儃				たたずむ,やうす,ほしいまま	セン,ゼン,タン,ダン	manner, air; easy-going; to turn around; lame; unable to get on
儌				ゆく,うかがう,もとめる,いつわる	ケウ,ギョウ,キョウ	lucky, fortunate
儎				のせる	サイ	carry, contain, load
㒒				しもべ	ボク	(same as 僕) a slave; a servant, used conventionally for oneself, a charioteer
儖				みにくい	ラン	ugly
儗				なぞらえる,くらべる	ギ,カイ,ガイ	compare with, draw analogy with
儙				ひらく	ケン	
儚				くらい,はかない	ボウ,モウ,ビョウ,ミョウ,ム	(same as 果敢 in Japanese), fleeting, momentary, ephemeral; vain, empty; fickle
儛				まう,まわす	ブ,ム	to skip about, to dance for joy
儜				なやむ,よわい	ダウ,ニャウ,ドウ,ニョウ	weak; wearied; in distress
儝				まつ	ケイ	
儞					ジ	
儣					コウ	
儧				あつめる,あつまる	サン	
儨				ただしい	シツ,シチ	
儬					シン,ショウ,セイ,ソウ	
儯				むがい	トウ,ドウ	
儱				でさあがらない,うやむや	ロウ,ル,リョウ,リュ	rude; barbarous
儳				ととのはぬ,はやい,わるいさま	サン,ザン,ゼン	obstinate; stupid; uneven; mix
儴				よる,さまよう	ショウ,ソウ,ジョウ,ニョウ	
儵				はやい	シュウ,シュク	hastily, suddenly, abruptly
儸				さばく	ラ	bandit, daredevil
儹				あつめる,あつまる	サン	to accumulate, to hoard, to store up
兂				かんざし	シン,サン	hairpin, clasp; wear in hair
兊				よろこぶ	タイ,ダ,ダイ,エ,ツ	
免						
兏				ながい,おさ	チョウ	
兓				するどい,たすける	シン,サン	
兘				はじめる,はじまる	シ	
兟				すすむ	シン	to advance
兠				かぶと	トウ	
兤				あかるい	コウ	
㒵					ボウ	(same as 貌) manner; appearance; form; face; bearing
兾				こいねがう	キ	(same as 冀) to hope for; to wish
冂				とおい,えんがまえ	ケイ,キョウ,ギョウ	wide; Kangxi radical 13
冃				ずきん,おおう	ボウ,モウ,モ	
円				まるい,まる,まどか	エン	yen
冋				えながまえ,どうがまえ,けいがまえ	ケイ,キョウ	a desert, a border
冎				わける	カ,ケ	
冏				あきらか	ケイ,キョウ	(archaic form of 炯) light, bright
冐				おかす,おおう,こうぶる	ボウ,モウ,ボク	risk, brave, dare
冓				かまえる	コウ,ク	a secluded place; secret cabinet
㒼					バン,マン,ベン,メン	average; equivalent; corresponding, to cover something carefully and tightly without a break; (Cant.) blocked
冖				おおう,わかんむり	ベキ,ミャク	cover; Kangxi radical 14
冘				おこたる,ためらふ,うたがふ	イン,イウ,ユ,ユウ	to move on; doubtful, to hesitate
冝				よろしい,むべ,よい,よろしく,べし	ギ	suitable, right, fitting, proper
冡				おおう	ボウ,モ,モウ,ム	
冣				つま	シュ,ジュ,サイ	(ancient form of 聚) assemble; most, extremely
冦				あだ,あだする	コウ,ク	bandits, thieves; enemy; invade
冨				とむ	フ,フウ	abundant, ample; rich, wealthy
冭				なめらか	タイ,タツ,タチ	
冴				こおる,ひえる,さえる,さえ	ゴ,コ	freezing; stopped up, closed off
㓇					ヨク	
冸				とける	ハン	
冺				ほろびる	ビン,ベン,ミン,メン	
冾				やわらぐ	キョウ	
冿				すすむ,つ	セン,シン	
凃					ト,チョ,トウ,トオ	mud; surname
凅				こおる	コ,ク	dried up; exhausted, tired; dry
凊				さむい,すずしい	セイ,シャウ,ショウ	surname
凒				さむい	ギ,ゲ,カイ,ガイ	
凓				さむいさま	リツ,リチ	shiver; severe cold
凕				こおるさま	ベイ,ミョウ,メイ	
凖				ひとしい,みずもり,のり	ジュン,セツ	rule, guideline, standard
凘					シ,セイ,サイ	ice floating in freshly-melted water
凞				やわらぐ	キ	bright, splendid, glorious
凞				やわらぐ	キ	bright
凥				おる	キョ,コ	to dwell
処				おる,ところ	ショ	place, locale; department
凧				たこ		kite
凩				こがらし		wintry wind
凪				なぐ,なぎ		calm, lull
凲					カン,ケン	
凵				かんにょう,かんがまえ,うけばこ	カン,コン,ケン	receptacle; Kangxi radical 17
凷				つちくれ	カイ,ケ	dirt clod; piece
刅				けずしける,きず	ソウ,ショウ	to create, to make to invent; to begin
刋				きる	セン,カン	publication, periodical; publish
㓛					コウ,ク	(incorrect form of 功) merit; achievement; meritorious, efficacy; good results
刓				けずる,たつ,える,すりへる	グン,ガン	trim
刔				えぐる	ケツ,ケチ	scoop out; gouge
刕				さく	リ,レイ,ライ,サク	
刢				さく	レイ,リョウ	
刲				さす,さく,えぐる,ころす	ケイ,ケ	cut, slice off
刵				みみきり,みみきる	ジ,ニ,ゲイ	punishment by cutting off ears
剅				さく,さける	ロウ,ル,トウ,ツ	mouth of a stream; waterway beneath a dam
剉				くじく,かどおとる,きる	サ,ザ	cut, file, trim; file
剋				かつ	コク	subdue, overcome; cut down
剏				はじめる	ソウ,ショウ	establish, create; knife cut
剕				あしきる	ヒ	to cut off the feet (one of the five punishments in ancient times)
剗				けずる,たいらにする	サン,セン	to level off; to trim; to pare down
剘				まこと,ただす,さく	キ,ギ	
剚				さす,さしこむ,おく	シ	stab
剟				けずる,さきとる,そぐ,うつ	テツ,テチ,タツ,タチ	to prick; to cut blocks, to engrave
剠				いれずみ,かすめとる	ケイ,シャウ,リャウ,ギョウ,リョウ,リャク	brand
剣				つるぎ	ケン	sword, dagger, saber
剤				そろえる,まぜる	ザイ,スイ,セイ	medicinal preparation
剬				たつ,さばく	タン,セン,セイ	
剰				あまる,あまり,あまつさえ	ジョウ	leftovers, residue, remains
剱				つるぎ	ケン	sword, dagger, saber
剳				かぎ,かま,さす	トウ,サツ	brief note; official communique
剷				けずる	サン,セン	to level off, cut off, pare down, raze
剸				きる,さく,たつ,ほしいまま	タン,ダン,セン	cut
剹				けずる	リク,ロク,キョウ,ク,キュウ	
劀				けずる	カツ,ケツ	
劄				さす,かぎ,かま	サツ,トウ	brief note; official communique
劅					タク	
劔				つるぎ	ケン	sword, dagger, saber
劕				わりふ,しち	シツ,シチ,チ	
劖				たつ,けずる	サン,ザン	make into mince; cut
劗				へりす,きる	サン,ザン,セン	to cut, clip
劘				けずる,する,わける	バ,マ,ビ,ミ	make into mince
劚				きる	チャク,チョウ,チョク	cut
劜				つよい	アツ,エチ	
劤				ちかり	キン,コン,ロク	strong
劥				つよい	コウ,キョウ	
劦				にわか,がととのう	キョウ,ギョウ,リョウ	(variant of 協) cooperate; combined labor
劧				かたい	シ	
劯				つよい	ショ,リョク	
劰				つとめる	バク,マク	
労				つかれる,ねぎらう,いたわる	ロウ,リョウ	labor, toil, do manual work
劵				つかる	ケン,ゲン	certificate, ticket; title deeds
劶				つとめる	コウ,ク	
劷				すすめる	ヨウ	
劸				せまる	アイ,ア	
劺				すすめはげます	ボウ,ム	
劻				あわてる	キョウ,コウ	flurried, be in flurry, zealous
劼				つつしむ,かたい,つとめる	カツ,キツ,ケチ,キチ	be discreet, prudent, cautious
劽				がある	レツ,レチ	
勀				つとめる,かつ	コク	
勆				つとい	ロウ	
勈				いさむ	ヨウ,ユウ	
勉						
勊					コク	
勌				つとめる,うむ	ケン,カン,ゲン	to labor; tired
勍				つよい	ケイ,ギョウ	strong, powerful, mighty; violent
勏				つとめる	ホウ,ブ	
㔟				いきおい	セイ	
勔				つとめる,すすめる	ベン,メン,ビン,ミン	endeavor, make effort; urge
勜				つとい	オウ,オ,アウ	
勠				あわせる	リク,リュウ,リョウ,ロク,ル	join forces, unite
勡				かすめる	ヘウ,ヒョウ	
勣				いさお	セキ,シャク	achievements, conduct deserving
勤						work; serve
勥				せまる,つとめる	キョウ,ゴウ	to force; tough
勦				つかれる,つくす	ソウ,ショウ,ジョウ	destroy, exterminate, annihilate
勧				すすめる	カン,ケン	recommend, advise, urge
勨				ゆるやか,うごく	ヨウ,ショウ,ジョウ,ゾウ	
勩				いたつき,つかれる	エイ,イ,シ,ジ	work hard; belabored; toil
勪				すすむ	キャク,ガク	
勬				つとめる,すこやか	ケン	
勲				いさお	クン	meritorious deed; merits; rank
勴				たすける	リョ,ロ	
勶				はなつ,とりさる	ケツ,デチ,テツ	
勷				はしる	ジョウ,ニョウ	urgent; in haste, hurriedly; help
匁				もんめ		Japanese unit of weight (1/1000 of a kan)
匂				におう,におい		fragrance, smell
匇				いそがしい,あわただしい,あわてる,あわただし	ソウ	
匌				あう,めぐる	コウ	
匑				うやまう	キュウ,ク,キク,コク	
匓				あつ,はかる	キョウ,ク,キュウ	
匛				ひつぎ	キュウ,グ	bier; coffin
匜				ひさげ,はんぞう	イ,タ,ダ	basin; container for wine
匞				たくみ	ショウ	
匟					コウ	divan for two persons
