japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
㬢					ギ	sunshine; sunlight; the light of day
曟				あした,あさ	シン	
曨				おぼろ	ロウ,ル	vague, dim; twilight
曫				たそがれ	ラン,バン,マン,レン	
曮					ガン,ゴン,ゲン	
曵				ひく	エイ	trail, tow, drag, pull
曺				つかさ,ともがら,へや	ソウ	
曻				のぼる	ショウ	
朁					サン,セン,ゼン,ソン	if, supposing, nevertheless
朅				さる	ケツ,ケチ,コチ	brave
朇				ます	ヒ	
朎				つきのうしいにかり	レイ,リョウ	
朏				みかずき,くらい,おろか,みかづき	ヒ,ハイ,ホツ,ヘ,ホチ,キツ,コチ	light of crescent moon
朒					ニク,ジク	new moon on the eastern horizon
朓					チョウ,ジョウ,ヨウ	sacrifice
朖				ほがらか	ロウ	clear, bright; distinct
朗						clear, bright; distinct
朜				つきのひかり	トン	
朠					エイ,ヨウ	color of the moon
膤				たら,ゆき		snow; (kokuji)
朮				もちあわ,おけら	ジュツ,シュツ,チュツ,ジュチ	skill, art; method; trick, device
朳				えぶり,さらえ	ハツ,ハチ,ヘチ,ヘツ	tree
朷					トウ,ボク,モク,チョウ,ジョウ	type of tree
朸				おうご	リョク,リキ,ロク,キョク,キン,ゴン	carrying pole
朾				つく	トウ,ジョウ,テイ,チョウ	to bump
杁				えぶり,いり		sluice; spout; floodgate; penstock; (kokuji)
杅				ゆのみ	ウ	tub
杍					シ,リ	
杔				うつぎ,さけこし	タク,チャク	
杕				かじ	テイ,ダイ,タ,ダ	alone
杙				くい	ヨク,ヨキ	a tiny wooden post; peg
杝				まがき	チ,ジ,シ,イ,リ,タ,タイ,デ	tree
杢				もく		woodworker
杣				そま		timber forest; timber, lumber; woodcutter
杤				とち		type of oak; stable
杦				すぎ		
杬				ふじもどき	ゲン,ガン	(archaic) a tree whose bark can be used in pickling; (Cant.) olive
杮				こけら	ハイ	wood shavings
杶					チュン	varnish
杻				てかせ	チュウ,チュ,シュウ,ニュ,ジュウ,チュン	Ligustrum sinense, tree
枅				とがた,ひじき	ケイ,ケン	rafter; place name
枌				そぎ	フン,ブン	variety of elm with small seeds
枎				しげる	フ,ブ	
枑				やらい	コ,ゴ	anciently, a wooden fence in front of a yamen
枒					ヤ,ガ	the coconut tree; rim
枓				ひしやく,ますがた,ひしゃく	シュ,トウ,ツ	capital
枖				きがわかくさかんなさま	ヨウ	
枙				ふし	ガ,アク,ヤク,カ	
枛				きのとぎ,はぬ,はの,はのき	ソウ,ショウ	
枠				わく		a frame; a reel, spindle, spool
枡				ます		measuring box
枦				はぜ,はじ,うつぎ	ロ,ヘ	wax tree; sumac
枩				まつ	ショウ	pine tree; fir tree
枲				からむし,あさ	シ	male nettle-hemp
枴				つえ	カイ,タイ,ケ,カ	cane
枹				ばち,おけら,なら	ホウ,フ,ブ,ヒョウ,フウ	drumstick
枻				かい,かじ	エイ,セツ,セチ	long oar, sweep
枼				うすいきふだ,まど	ヨウ	a table, flat pieces of wood, a slip, a leaf
枽				くわ	ソウ,ヨウ	
柀				すぎ,かや	ヒ	
柂				かじ	イ,リ,タ,ダ	helm
柅					ジ,ニ,ニチ,ジツ,デイ,ナイ	flourish
柆				おれたき	ロウ	bent tree; broken tree
柈				はち,たらい	ハン,バン	container
柉					ハン,ボン,ヘン,ベン	
柊				ひいらぎ	シュウ,シュ	holly
柎				うてな	フ,ブ	calyx of flower; railing raft
柗				まつ	ショウ	
柛					シン	
柡					エイ,ヨウ	
柤				いせき,きりかぶ,こぼけ	サ,ショ,ソ,シャ	hawthorn
柦					タン,ダン	
柧				かど,さかずき	コ,カ,ク,ケ	corner; spire; goblet; winecup
柮				きりはし	トツ,ジュツ,ダツ,トチ,ニュチ,ネチ,サツ,ゴツ,ゴチ	flat pieces of wood, scraps of wood
柲				にぎり,え	ヒ,ヒツ,ビチ,ベチ,ヘツ	handle
柶				さじ	シ	ladle
柷					シュク	instrument
柹				かき	シ,ジ	persimmon
査				しらべる	サ,シャ,ゼ,サイ	investigate, examine, seek into
柼					オウ,ヨウ	
柾				まさ	キュウ	straight grain
栂				とが,つが		a kind of evergreen tree
栃				とち		type of oak; stable
栄				さかえる,はえる,さかえ,はえ	エイ,ヨウ	glory, honor; flourish, prosper
栐					エイ,ヨウ	
栔				きざむ	ケイ,ケツ,ケチ	carve, engrave
栘					イ,ザイ,ゲイ,セイ,ケイ,サイ,エ	fruit tree
栙				ふねのほ,まだはらぬほ	コウ,ゴウ	
栞				しおり	カン,ケン	publication, periodical; publish
栟					ヘイ,ヒュウ,ヒン	hemp palm
栢				かしわ,かや	ハク,ヒャク	cypress, cedar
栧				かい	エイ,セツ,セチ	
栨				たる,はり	セツ,セチ,シ	
栫				ふしずけ,かこみ,まがき	ソン,セン	fence
栬				ちさなくい,もみじ	セイ,セ	
栭				ますがた	ジ,ニ	king-post
栯				いくり	イク,ヨウ,ウ,ユウ	
栱				くい,ますがた	キョウ,ク	large peg, stake; post, pillar
栴					セン	sandalwood
栻					チョク,チキ,ショク,シキ	tree
栿				はり,のせる	フク,ブク	a beam (archaic)
桊					ケン	a small iron ring or wooden stick worn on the nose of a bull
桍				むなしい	コ,ク	type of tree; empty
桒				くわ	ソウ	mulberry
桗				ね	タ,ネ	
桘				しい	ツイ,スイ	
桙				ほこ	ウ,ボウ,ム	halberd
桛				かせい,かせ		a real, hank, skein
桜				さくら	オウ,ヨウ	cherry, cherry blossom
桝				ます		(variant of 枡) a measuring box
桟				かけはし,たな	サン,セン,シン	a crosspiece, cleat, frame, door bolt; shelf
桮				さかずき	ハイ,ヘ	cup, glass, tumbler
桯				つくえ	テイ,チョウ,ケイ,ギョウ,エイ,ヨウ	table
桰				ゆだめ	カツ,カチ	
桱					ケイ,キョウ	
桲				からざお	ホツ,ボチ	quince
桵				たら	ズイ,ニ	small thorny bushes
桹					ロウ	palm
桺				やなぎ	リュウ	willow
桻				こずえ	ホウ,フ	
桾					クン	type of fruit tree
桿				てこ,ぽうる	カン,ガン	pole; stick; club; pole as unit
梂				のみのさき	キュウ,グ,キョク,コク,キク	acorn cup
梄				やく	ヨウ,ユ,ユウ	a soft wood; to lay in stores of firewood
梅						plum
梈				きでつくつたおおゆみ	ホウ,ヒョウ	
梍				さいかち	ソウ,ゾウ,オウ	tree name
梐				こまよけ,ひとや	ヘイ,ベイ	fence
梖				ばいたら	ハイ,バイ	a palm-tree
梙					カン	
梚					バン,マン	
梛				なぎ	ダ,ナ	type of tall evergreen tree
梜				そえいた,はし	キョウ,コウ	chopstick
梠				ひさし	リョ,ロ	a small beam supporting the rafters at the eaves
梡				まないた,たきぎ	カン,ガン,コン,ゴン	tray for carrying sacrificial meat
梣				とねりこ	シン	
梥				まつ	ショウ	
梩				すき	リ,シ,ジ,サイ,タイ,キ,カイ,ガイ	a hod, a basket in which to carry earth
梪				たかつき	トウ,ズ	
梫					シン	ancient term for cassia
梮				ぜん,かんじき	キク,コク,キョク	snowshoes
梱				しきみ,こり,こうり	コン,ゴン	doorsill; doorjamb
梲				つか,うだち,つえ,うだつ	セツ,セチ,タツ,タチ,トチ,トツ,エイ	joist; cane, club; king-post
梴					テン,セン,レン	long
梶				こずえ,かじ	ビ,ミ	oar, shaft
梺				ふもと		base of a mountain; (kokuji)
梻				しきみ		a tree whose branches are placed on Buddhist graves
梼				きりかぶ,おろか,つく	トウ,チュウ,ジュ,ドウ	block of wood; blockhead; stupid
㭷				おうこ		
棆					リン,チュン	camphor tree
棈					セン,セイ,ショウ	
棌				くぬぎ,あらき,まるき	サイ	
棏					トク,ドク,タク,チャク	
棓				つえ,ふみいた	ホウ,ボウ,フ,ハイ,バイ	hit, strike
棔					コン	silk tree
棙				からくり,ねじる,ねじき,ばち	レイ,ライ,レツ,レチ	obstinate; to draw the fingers across; to steer
棜				だい	ヨ,オ	branch, fork; tray
棝				ねずみおとし	コ,ク	
棤					セキ,シャク,サク	
棨				てがた,たてやり,ほこ,わりふ	ケイ,ケン	tally or wooden pass
棪					エン,セン	tree
棫				たら,くぬぎ	ヨク,イキ,イク	thorny shrub with yellow flowers; a kind of oak
棬					ケン,カン,ゲン	bowl
棭				ねむのき	エキ,ヨク,ヤク	
棯					ジン,デン,シン,ニン,ネン	jujube tree
棶				むく	ライ	
棷					サイ,セ,シュウ,ソウ,シュ	
棻					フン	kind of wood from which perfume is made
棽					チン,シン,リン	
椃					コウ	
椄				つぐ,つぎき	セツ,ショウ,ジョウ	to graft
椆					チュウ,ジュ,シュウ,シュ,キュウ,ク	
椇					キョ,ク	(枳椇) Hovenia acerba, Chinese raisin tree
椈				ひのき	キク,コク	cedar
椉				のおる,のおせる	ジョウ	
椊				ほぞ	ソツ,サツ,スイ,ソチ,サチ	to fit a handle into a socket; a plug or cork
椌				むなしい	コウ,キョウ,ク	instrument
椑				たる,ふだ	ヘイ,バイ,ヒ,ヘキ,ベイ,ビャク,ハイ	oval
椓				たたく,うつ	タク,チョ	strike, hit, beat, hammer
椖					ホウ	
椗				いかり	テイ	anchor
椙				すぎ		Japanese cedar; cryptomeria; (kokuji)
椚				くぬぎ,くのぎ		a kind of oak used for charcoal
椛				もみじ,かば		type of birch
検				しらべる	ケン	check; examine
椡				くぬぎ		type of oak; (kokuji)
椢				そこ,はこ,くぬぎ,くにぎ	カイ,ケ	bottom; box; type of oak tree
椣				しで		type of deciduous birch tree; (kokuji)
椥				なぎ		place in Vietnam
椦					ケン	wickerwork; (ghost kanji)
椨				たふ,たぶ		type of evergreen camphor tree; (kokuji)
椪				くぬぎ,はえ,ぽん		Machilus nanmu, variety of evergreen
㮇					テン	(standard form of 掭) (same as 栝) a builder's frame for measuring, juniper, a poker (for stirring fire, a cylinder part on the old style of wooden doors
㮈					ナ	(non-classical form of 奈) but; how; what, a remedy; a resource, to bear, to endure
椱				いのあし,ひさぎ,えのき	フウ,ブ,フク,ブク,カ	
椳					ワイ,ガイ,エ,ガ,ゲ	the pivots, at the top and bottom of a Chinese door, on which the door turns
椵				くい	カ,ケ,ゲ	pompelmous; canque (breech, rump, buttock)
椻				せき	エン	
楅					ヒョク,ヒキ,フク	wooden board
楆					ヨウ	
楉				ざくろ	ジャク,ニャク	
楎				から,すき,からすき	コン,ゴン,キ,クン	peg
楕				ぬく	ダ,タ	oval-shaped, elliptical, tubular
楙				うつくしい,つとめる,かえる,しげる	ボウ,ム	name of plant; lush
楛					コ,ゴ	coarse, crude; plant
楜				こしょう,くるみ	コ,ゴ	pepper
楢				なら	シュウ,ユウ,シュ,ユ,ショウ	tinder
楤				たら	ソウ	
楩					ヘン,ベン	tree
楪				まど,すのこ,ふだ	ヨウ,チョウ,ショウ,チャ,ジョウ	small dish; window
楬				たてふだ,くい	ケツ,ゲチ,カツ,コウ,カチ	tablet; a signpost
楯				たて	ジュン	shield; horizontal bar
楰				ねずみもち	ユ,ギョ,ゴ	tree
楲				おまる,おかわ,とい	イ	
楳				うめ	バイ	plums; prunes; surname
楴				かんざし,ね	テイ,チ,シ,ダイ,ヂ	ornamental hairpin
楺					ジュウ,ニュ	
楻				はたざお	コウ,オウ,ギョウ	
楾				はぞう,はんぞう		container for pouring water; (kokuji)
楿				かつら		
榁				むろ		needle juniper; (kokuji)
㮍					サン,セン	(ancient form of 牋 箋) a memorandum tablet, slip of paper, fancy note-paper, a note, a document, comments
﨓				たぶ		
榊				さかき		a sacred Shinto tree
榎				えのき	カ	small evergreen shrub
榑				くれ	フ,ブ,ハク	unbarked lumber
榒					ドク,ニャク,ダク	
榖				こうぞ,かじ	コク,コウ,ク	paper mulberry
榠					ベイ,ミョウ,メイ	type of tree
榡				きじ	ソ	
榥				つくえ	コウ,オウ	screen
榦				みき	カン	tree trunk; support, prop
榯				たつ	シ	
榰				ささえる	シ	
榲				すぎ	オツ,オチ,ウン,オン,イン	pillar; Cryptomeria
榸				かれきのね,くい	タイ	
榺				はたのけいしをもつぐ	ショウ	
榼				さかだる,もだま	コウ	wine glass
榾				ほた	コツ,クチ	pieces of wood
槃				たらい	ハン,バン	tray; turn, rotate; search
槅				くびき,さね,あみど	カク,キャク	
槇				こずえ,まき	テン,シン,デン	tip of a tree; fallen tree
槈				すき,くわ	ドウ,ヌ	
槏				かね	ケン,タイ,カネ	
槗				はし	キョウ	
様				さま,ざま	ヨウ,ショウ,ゾウ	shape, form, pattern, style
槙				こずえ,まき	テン,シン	a twig; an ornamental evergreen
槝				かし	トウ	oak; mooring pole; used in proper names; (kokuji)
樮				ほくそ		a type of tree; (kokuji)
㮤					ショウ	pine; fir, (same as 松 鬆) loose; lax; slack
㮶					サク	(same as 槊) a tree, a fence; a palisade; a railing
﨔				けやき	キョ,コ	
槢				くさび	シュウ,ジュウ,チョウ,ジョウ	a hard wood
槣					キ	
槥				ひつぎ	エイ,エ,セイ,ケイ	coffin
槫				まるい	タン,ダン,セン,ゼン	hearse
槮					シン,サン,セン,ソウ	leafless; fish trap
槯				つむ	サイ,セ	
槱				やく	ユウ,ユ,ウ	firewood for sacrifice
槴					コ,ゴ	
槵				むく	カン,ガン	
槶				くるみ	カイ,ケ	
槹					コウ	spar; well-sweep
槻				つき	キ	zelkova tree
槾				こて	バン,マン	paste wall with dirt
樀				のき	テキ,チャク,タク	
樃					ロウ	
樋				ひ,とい	トウ,ツ	tree name
樌					カン	grove
樏				はち,かんじき	ルイ,ル,ラ	sedan
樒				じんこう,しきみ	ミツ,ミチ,ビツ	a tree whose branches are placed on Buddhist graves
樔				やぐら,すくいあみ,すくう	ソウ,ショウ,ジョウ	nest; dip up; scoop up; come to an end
樕				しば,いばら	ソク	shrub
樛				つが	キュウ,ク,ビュウ,リョウ,ミュ	bending branches, bent limbs
樝				こぼけ	サ,シャ	a kind of hawthorne
樠					ボン,モン,バン,マン,ロウ	elm; gum
樤				ゆず,こえだ	ジョウ	
権				おもり,はかる,かり,いきおい,はかり	ケン,ゴン	power, right, authority
樫				かし		evergreen oak
樰				たら		
㯍					ショウ	(same as 槳) an oar
樲				なつめ	ジ,ニ,チ	jujube
樳					ジン	tall tree
樴				ぼう,くい	ショク,シキ,トク,ドク,ヨク,ヨキ	
樶				ふし	サイ	a wooden joint
樻					キ,ギ	cupboard, wardrobe, counter
樿				つげ	セン,ゼン	coffin
橅				ぶな,かた	ボ,モ	a beech tree
橆				しげる	ブ,ム	without, apart from, none; a negative
橉				しきみ	リン	
橎				まく	ハン,ボン,ホン,ハ	
橑				たるき	ロウ,リョウ	
橒				もくめ	ウン	wood streaks
橕				はしら	トウ,チョウ	a prop; a shore
橖				くるまぎ	トウ,チョウ,ドウ	
橤				たれる,しべ	ズイ,ニ	stamen
橦				むね,きぎれ,つく	トウ,ショウ,ソウ,ズ,シュ,ジョウ	tree
橧				そまい	ソウ,ショウ,ゾウ	hut
橪				こなつめ	ゼン,ネン,エン	
橲				ずさ	キ	Japanese storax; used in proper names
橳				ぬで		
橸				まさ,たる	ショウ	straight grain
橺					カン,ゲン	(Cant.) a partition; to separate
橾				みさお,あやつる	シュ,ソウ,ス,ショウ	the hole in the center of a wheel accommodating the axle (archaic)
橿				え,かし	キョウ	a kind of oak
檃				ためぎ	イン,オン	
檆				すぎ	サン	
檇				つく	スイ,サイ,ズイ,セ	wooden rammer or pestle; place
檋				かんじき	キョク,コク,キョウ	
檍				もち	ヨク,イ,オク,ヨキ	ilex
檞				まつやに,かしわ	カイ,ゲ	a kind of oak
檟				ひさぎ	カ,ケ	small evergreen shrub
檡					タク,ジャク,ダク,エキ,ヤク,セキ,シャク,ト	
檪				くぬぎ	レキ,ロウ,ヤク	chestnut-leaved oak; oak
檮				きりかぶ,おろか,つく	トウ,チュウ,ジュ,ドウ	block of wood; blockhead; stupid
檰				とちゆう,もめん	ヘン,メン,ベン	
檱				ご,ごいし	キ	
檽				きくらげ	ジ,ニ,ゼン,ネン,ジュ,ニュ,ドウ,ヌ	
檾				いちび	ケイ,キョウ	grassy plant with fibres from which cloth is made
檿				やまぐわ	エン	mulberry
櫁				じんこう,しきみ	ミツ,ビツ	Japanese star anise
櫆					カイ,ケ	Polaris, the north star
櫉				ひつ	チュ	
櫐				ふじ	ルイ,ライ,レ	
櫑				さかだる	ライ,レ	decorated wine cask; decorated sword hilt
櫔					レイ	
櫕				つえ	サン,ザン	
櫖				ふざ	リョ,ロ	
櫜				ふくろ,ゆみぶくろ	コウ	quiver (case for arrows)
櫤				たも	セン	
櫰				いぬえんじゅ	カイ,エ,ケ	
櫲				くすのき	ヨ	
㰏					コウ	(same as 篙) a bamboo pole; a pole for punting a boat
櫼				くさび	セン,シン,サン	wedge
櫽				ためぎ	イン,オン	shape wood by use of heat; tool for shaping bent wood
欂				はしら,ますがた	ハク,バク,ヘキ,ビャク	
欃					サン,セン,ザン	sandalwood; comet
欄						railing, balustrade; animal pen
欅				けやき	キョ,コ	zelkova
欆				ふねのほ	ソウ	
欇				このはがうらがえる,ふじまめ	ショウ	
欉				しげる	ソウ,ス	
欋				くまで,つく	ク,グ,チュ	to wave; fool; urge
欐				むね	レイ,ライ,リ,シ	beam
欑				つえ	サン,ザン	gather
欗				てすり	ラン	
欛				つか	ハ,ヘ	a handle
欟				つき,かたくみ		keyaki; zelkova tree; (kokuji)
欨				ふく,あたためる	ク	to blow or breathe upon; to smile
㰦				あくび	キョ,コ,カ	to breath with mouth open
欫					ケキ,キャク	
欬				せき,しわぶき	カイ,キ,ガイ,アイ	cough; sound of laughter
欯				よろこぶ	キツ,キチ,カイ	
欶				すう	サク,シュク,スク,シュ,ソク,ソウ	to suck in
欸				なげく,ああ	アイ,カイ,イ,ケ	sigh; an exclamatory sound
欻				たちまち	クツ,クチ	sudden, abrupt, quick
欿				もとめる	タン,トン,カン,コン,ゴン	discontented; sad; gloomy
歊				のぼる,あつい	キョウ,コク,カク	sigh
歍				はく	オ,ウ,オウ	
歒				わらう	テキ,チャク	
歓				よろこぶ,よろこび	カン	happy, pleased, glad; joy; enjoy
歔				すすりなく	キョ,コ	blow through nose, snort
歖					キ,イ	
歘				たちまち	クツ,クチ	sudden
歛				のぞむ,あたえる	カン,ケン,コン	draw back, fold back; collect
歝				いやになる	エキ,ヤク,ト,ズ	
歠				のむ,のませる,のみもの,すする	セツ,セチ	sip, drink, suck
歩				あるく,あゆむ,あゆみ	ホ,ブ,フ	step
歫				とめる,とどめる	キョ,ゴ	
歬				すすむ	ゼン	
歮				しぶ,しぶうい,しぶうる	ジュウ,シュウ	
歰				しぶる,しぶい	シュウ,ソウ	(Cant.) 歰氣 to argue, wrangle, disagree
歵				ととのう,みい,ただしい	サク,ジャク	
歺					ガツ	vicious, depraved, bad
歽				わかじに	セツ,セチ	
歾				しぬ	ボツ,モチ,フン,ブン,モン	drown
殀				わかじに	ヨウ	die young, die prematurely
殅				よみがえる	ソウ,ショウ	
殕				やぶれる,くさる,たおれる	フウ,フ,ホク,ホ,ボク,オク	grow mouldy
殗				やむ	ヨウ,オウ,エン	sickness; repeated
殟					オツ,オチ,オン	
殠				におい	シュウ,シュ,キュウ,ク	
殢				つかれる	テイ,タイ,ケイ,ダイ	be in great difficulty, greatly
殣				うえじに	キン,ギン,ゴン	die; death; to starve to death
殨				ただれる	カイ,エ,コツ,ゴチ	to open as an ulcer or sore
殩					サン	
殬				やぶれる,やぶる	ト,ツ	
殭				かたくなる,しろこ	キョウ,コウ	a stiff corpse
殰				やぶれる	トク,ドク	an abortion; stillborn
殱				つくす,ほろぼす,つきる	セン	annihilate, wipe out, kill off
殸				けい,てき,こえ	ケイ,キョウ,コウ,セイ,ショウ	stone chimes
殹				うちあたるこえ,みにくいすがた	エイ	an echo
殺						kill, slaughter, murder; hurt
殻				から	カク,コク	casing, shell, husk, hull, skin
殾				きずく,きづく	シュン	
毃				たたく	カク,キョウ,コウ	
毄				あたる	ケキ,キュク,ケイ,ギキ,キャク,カイ,ケ,ゲキ	
毇					キ,サク,ソク	
毈					ダン,タン,タ,ダ	infertile eggs; (Cant.) rotten, muddled
毉				いしや,いやす	イ,エイ	medicine; to cure, heal; physician; a black stone like jade
毌				つらぬく	カン	old form of 貫; component in 贯,貫,實, etc.; not to be confused with 毋
毎				つね,ごと,ごとに,つねに	マイ,バイ	every
毚				うさぎ,むさぼる,わずか	サン,ゼン,ザン	cunning; greedy; crafty
毟				むしる		to pluck, pick, tear
毣				よい	ボク,モク,バク,マク,ボウ,モウ	
毦				けかざり	ジ,ニ	
毧					ジュウ,ニュ	fur, hair, down; camel hair
毬				まり,いが	キュウ,グ	ball, anything round, sphere
毮				むしる		[kokuji] to pull out hair, etc.
毱				けまり,まり	キク,ゴク	
毷				とける	ボウ,モウ	restless
氄				むくげ	ジュウ,ニュ,ジョウ,ジュン,ニン	down
氉				け	ソウ	restless, melancholy
氎				もめんのぬの	チョウ,ジョウ	fine cotton cloth
氒				ね	ケツ,カチ	
氵				さんずい		water; radical number 85
氺				したみず	スイ	water radical variant (no. 85)
氶				すくう	ショウ,ジョウ	name of a river in Shandong
氻					ロク	
氾				ひろがる	ハン,ホン,ボン	overflow, flood, inundate
氿				おずみ,わきみず	キ,キュウ,グ	spring
汋				うるおう	サク,ザク,シャク,ジャク,ヤク	to pour
汍					カン,ガン	weep
汏				あるう	タイ,ダイ,タツ,タチ,タ,ダ	
汒				あわただしい	ボウ,モウ	
汢				つち,ぬた		wetland; marsh; (kokuji)
汧				さわ,ただよう,きよい	ケン,ケイ,キョウ,ゲン	name of a river in Shangdong; marsh; float
汫					ケイ,キョウ,セイ,ジョウ	a pit, trap; the appearance of a small, meandering stream
汭				ながれる,みぎわ	ゼイ,ネイ,ゼツ,ネチ,トン,ズイ,ネ,ニ	confluence of two streams; bend
汯					コウ,オウ,ギョウ	
汳					ヘン,ベン	proper name
汸				つなぐ	ホウ,ボウ	
汻				ほとり	コ,ク,コウ	
沄					ウン,コン,ゴン	billows
沇				ながれる	エン,イ,イン	flowing and engulfing; brimming
沕				かすか	ブツ,モチ,コツ,コチ,ビツ,ミチ,バイ,メ	deep; (Cant.) to dive
沗				もおえる,もおう	テン	
沘					ヒ,ビ	name of a river
沚				なぎさ	シ	islet in stream; small sandbar
沜					ハン	
沢				さわ,うるおす,うるおい,つや,うるおう	タク,セキ,シャク,エキ	marsh, swamp; grace, brilliance
㳃					サイ	(non-classical of 淬) to temper iron, or steel for making swords, etc. (also used figuratively), to dip into water; to soak; to dye
沰				なげる	タク	to let drop
沴				もこなう	レイ,ライ,テン,デン,デツ,ネチ,シン,リ	foul and poisonous in confusion; out of harmony
沺					テン,デン	turbulent
泂				さむい,とおい	ケイ,ギョウ,キョウ	clear and deep (of water); wide
泆				あふれる,ほしいまま,わく	イツ,イチ,テツ,デチ	licentious, libertine, dissipated
泍					ホン,ボン	
泏					チュツ,コツ,コチ,チュチ,クチ	
泑				くろい	ユウ,ユ,オウ,ヨウ	the vitreous glaze on china, porcelain, etc.
泒					コ,ク	a river in Hubei province
泙					ホウ,ヘイ,ビョウ,ヒョウ	roar
泜					テイ,タイ,シ,チ,ジ	a river in Hebei province
泧				おおみず	エツ,オチ,ケツ,カチ,カ	
泩				みなぎる	ソウ,ショウ	
泬				ほとばしる,よこしま	ケツ,ケチ	
泭					フ,フウ,ブ	a raft
泲					セイ,サイ	kind of white wine; rivers in Hebei and Shandong
泴				きよめる	カン	
㳒				のり	ホウ	statutes, laws, regulations, a rule, legal standard, plan or methods, etc.
泚				きよい	セイ,サイ,シ	clear; bright and brilliant; sweat
洀					シュウ,シュ,ハン	
洊				いたる	セン,ゼン,ソン,ゾン	flowing water
洏				ぬるまゆ	ジ,ニ	tears; tearful
洑					フク,ブク	whirlpool, undercurrent
洓				そぼうる,ひたす,つける	サク,シャク,セキ,シ,ジ	
洟				はなじる,はな	イ,テイ,ダイ	snivel, mucus from nose
洦					バク,ミャク,ハク,ヒャク	
洨					コウ,キョウ,ゴウ	river in Hebei province
洯				いさぎよおい	ケツ,ケチ	
洴					ヘイ,ホウ,ビョウ	sound
洸				ほのか	コウ,オウ	sparkle, glitter
浄				きょい,とろ,きよい,きよめる	ジョウ,セイ,ソウ,シン	pure, clean, unspoiled
浗					キュウ,グ	
浘					ビ,ミ	
浛					カン,ゴン	place in Yingde, Guangdong province
浟					ユウ,ウ,ユ,テキ,チャク	
浡				おこる	ホツ,ボチ,ボツ	burst forth; rise; vigorous
浤				ふかい	コウ,ギョウ	beating of ocean; surging of water
浥				うるおう	ユウ,オウ,ヨウ	moist, wet, dampen
浧				どろ	テイ,チョウ,エイ,ヨウ	
浬				かいり,のっと	リ,ノット	nautical mile
浰					レン,リ,レイ,ライ	
海						
涀					ケン,ゲン,ケイ,ゲイ	
涁					シン	
涊					デン,ジン,ネン,ニン	dirt
涍					コウ,キョウ	
涒				はく	トン,イン,キン,ウン,コン	meander
涗				ぬるまゆ	セイ,セツ,セチ,セ	
涘				ほとり,きし	シ,ジ	river bank; water's edge
涜				みぞ,けがす,けがれ	トク,トウ	ditch, sluice, gutter, drain
涙				なみだ	ルイ,レイ,リツ,ライ,レツ	tears; weep
涬					ケイ,ギョウ	watery expanse
涴					エン,オン,カ,ワ	daub
涷				にわかあめ	トウ,ツ	rainstorm
涹				にごる,ひたす	ワ,ダイ,ネ,イ	
涽				みだれる	コン	
淂				える,うる	トク,チョク,チキ	
淈				にごす,つきる,つくす,にごる	コツ,コチ,クチ	
淊					カン,ゴン,エン,アン	to immerse (in water)
淎				ほう,ふ	ホウ,ホ,フ	
淏					コウ,ゴウ	
淐					ショウ	
淕					リク,ロク	sleet; slush; name of a wetland
淛					セイ,セツ,セチ	
淟				にごる	テン,トン	turbid; muddy
淢				はやい	ヨク,イキ,イツ,イチ,イク,キョク,ケキ	ditch
淩				のる	リョウ	pass over, cross, traverse
淯					イク	name of river; old name of Baihe in Henan
淰				にごる	デン,ダン,ネン,アン,オン,ナン,ドウ,ノウ,シン	fish; still; (Cant.) thoroughly soaked; a deep sleep
淴					オツ,オチ,コツ,コチ,カイ,ケ	to wash, bathe
渀					ホン,ボン	
渄					ヒ	
渇				かわく,かわき,かれる	カツ,ケツ	thirsty
済				すむ,わたる,すくう,すます,なす,わたし	サイ,セイ,ザイ	help, aid, relieve; ferry, cross
渉				わたる,かかわる	ショウ,ジョウ,チョウ	ford stream
渋				しぶい,しぶ,しぶる	ジュウ,シュウ	astringent; harsh; uneven, rough
渓				たに	ケイ	mountain stream, creek
渕				ふち	エン	surge up, bubble up, gush forth
渚						
渞				みなもと	シュウ,ジュ	
渟				とどまる,とどめる	テイ,チョウ	(of water) not flowing; clear
渢					フウ,ブ,ハン,バン,ホン,ボン	pleasant sound
渧					テイ,ダイ,テキ,チャク	to drop, as liquids; a drop
渮					カ	river in Shandong province
渶					エイ,ヨウ	
渻					セイ,ショウ	
渼					ビ,ミ	ripples
湅				ねる	レン,ラン	boil silk
湈				やぶる	バイ,メ	
湉					テン,デン	gentle flow; tranquil
湋				めぐる	イ	river in Shanxi province
湏				ただれる	カイ,ケ,ス,シュ	wash face; erroneously borrowed for DKW 43352 'necessary, must'
湑				こす,きよい,したむ	ショ	to strain spirits; river in Guangxi; abundant; bright
湒				ふる	シュウ	
湗				ふかいどろ	ホウ,フ	
湜				きよい	ショク,ジキ	transparent, clear
湝				ながれる	カイ	flow
湞					トウ,ジョウ,テイ,チョウ,コウ,キョウ	river in Guangdong province
湢				ゆどの	ヒョク,ヒキ	bathroom; neat; orderly
湣					ビン,ミン,ベン,メン,コン	mixed, confused; pity
湨					ケキ,キャク	river in Henan
湲				きょい	カン,エン,ゲン,オン	flow
湳					ダン,ナン	
湶				いずみ,ぜに	セン	spring; fountain-head; source
湽					シ	
溂				らつ	ラツ	opposed; biased
溌				もる,とびちる,そそぐ	ハツ	pour, splash, water, sprinkle
