japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
乖	乖	乖	guāi	もどる,そむく,もとる	カイ,ケ	rebel; crafty, shrewd
摑	掴	摑	guāi	つかむ,つかみ,うつ	カク,キャク	box one's ears, slap
慣	惯	慣	guàn	なれる,ならわし,ならす	カン	habit, custom; habitually, usually
灌	灌	灌	guàn	そそぐ	カン	pour; water; irrigate, flood
盥	盥	盥	guàn	そそぐ,たらい	カン	wash
罐	罐	罐	guàn	かん,ほとぎ,かま	カン	jar, jug, pitcher, pot
貫	贯	貫	guàn	つらぬく,ひく	カン,ワン	a string of 1000 coins; to go through
鸛	鹳	鸛	guàn	こうのとり	カン,ガン,ケン,ゲン	crane, Grus japonensis; stork; Ciconia species (various)
管	管	管	guǎn	くだ,ふえ	カン	pipe, tube, duct; woodwind music
舘	馆	館	guǎn	やかた	カン	a mansion; a building
莞	莞	莞	guǎn	い,むしろ,わらう	カン	smiling; a kind of aquatic herb, clubrush, Scirpus lacustris
館	馆	館	guǎn	やかた,たて,たち	カン	public building
関	关	關	guān	せき,かんぬき,かかわる	カン,ケン,ワン	frontier pass; close; relation
冠	冠	冠	guān	かんむり,かぶる	カン	cap, crown, headgear
官	官	官	guān	つかさ,おおやけ	カン	official, public servant
棺	棺	棺	guān	ひつぎ	カン	coffin
観	观	觀	guān	みる,しめす	カン,ケン	see, observe, view; appearance
逛	逛	逛	guàng	はしる	キョウ,コウ,ゴウ	ramble, stroll, roam, wander
廣	广	廣	guǎng	ひろい,ひろば,ひろめる	コウ	broad, wide, extensive
光	光	光	guāng	ひかる,ひかり	コウ	light, brilliant, shine; only
櫃	柜	櫃	guì	ひつ	キ	cupboard, wardrobe, counter
桂	桂	桂	guì	かつら	ケイ,ケ	cassia or cinnamon
桧	桧	檜	guì	ひのき,ひ	カイ	Chinese cypress, Chinese juniper
檜	桧	檜	guì	ひのき,いぶき,ひ	カイ,カツ,ケ,カチ	Chinese cypress, Chinese juniper
貴	贵	貴	guì	とうとい,たっとい,とうとぶ,たっとぶ,たかい	キ	expensive, costly, valuable
跪	跪	跪	guì	ひざまず,ひざまづく,ひざまずく	キ,ギ	kneel
詭	诡	詭	guǐ	いつわる	キ	deceive, cheat, defraud; sly
軌	轨	軌	guǐ	わだち,みち	キ	track, rut, path
鬼	鬼	鬼	guǐ	おに	キ	ghost; spirit of dead; devil; Kangxi radical 194; 23rd lunar mansion, determinative star θ Cancri
亀	龟	龜	guī	かめ	キ,キュウ,キン	turtle or tortoise; cuckold
圭	圭	圭	guī	たま	ケイ,ケ	jade pointed at top
帰	归	歸	guī	かえる,とつぐ,おくる,かえす	キ	return; return to, revert to
瑰	瑰	瑰	guī	おおきい,すぐれる,うつくしい	カイ,エ,キ	extraordinary, fabulous; rose
袿	袿	袿	guī	うちかけ,うちぎ	ケイ,ケ,キ	gown
規	规	規	guī	ぶんまわし,のり,ただす	キ,ケイ,エ,ケキ,キャク	rules, regulations, customs, law
閨	闺	閨	guī	ねや	ケイ,ケ	small entrance; women's quarters
鮭	鲑	鮭	guī	ふぐ,さかな,さけ	ケイ,カイ,ゲ,ワイ,エ,カ	salmon; Spheroides vermicularis
棍	棍	棍	gùn	つえ	コン,ゴン	stick, cudgel; scoundrel
滾	滚	滾	gǔn	たぎる	コン	turn, roll, rotate; boil
国	国	國	guó	くに	コク	nation, country, nation-state
過	过	過	guò	すぎる,あやまつ,とが,すごす,あやまち,よぎる	カ	pass, pass through, go across
果	果	果	guǒ	はたす,くだもの,はて,はてる,はたして	カ,ラ,ワ,カン	fruit; result
菓	果	果	guǒ	くだもの,かし	カ	fruits, nuts, berries
裹	裹	裹	guǒ	つつむ,つつみ,たから	カ	wrap, bind; encircle, confine
郭	郭	郭	guō	くるわ	カク	outer part (of a city); surname
鍋	锅	鍋	guō	なべ	カ	cooking-pot, saucepan
蛤	蛤	蛤	há	はまぐり	コウ,ゴウ	clam
哈	哈	哈	hā	のむ,すする,くう	ゴウ,ソウ,コウ,ハ,トウ,カ	sound of laughter
孩	孩	孩	hái	ちのみご	カイ,ガイ	baby, child; children
還	还	還	hái	かえる,また,めぐる,かえす	カン,セン,ゲン	still, yet, also, besides
骸	骸	骸	hái	むくろ	カイ,ガイ	skeleton, body; leg bone
亥	亥	亥	hài	い	ガイ,カイ	twelfth earthly branch
害	害	害	hài	そこなう,わざわい,なんぞ	ガイ,カツ,カイ	injure, harm; destroy, kill
駭	骇	駭	hài	おどろく,おどろかす	カイ,ガイ	terrify, frighten, scare; shock
海	海	海	hǎi	うみ	カイ	sea, ocean; maritime
咳	咳	咳	hāi	せき,しわぶき	ガイ,カイ,アイ	cough
	嗨	嗨	hāi			an exclamation
函	函	函	hán	いれる,はこ	カン,ゴン,ゲン	correspondence; a case; a box
含	含	含	hán	ふくむ,ふくめる	ガン,カン,ゴン	hold in mouth; cherish; contain
寒	寒	寒	hán	さむい,さむさ	カン	cold, wintry, chilly
涵	涵	涵	hán	ひたす,うるおす	カン,ゲン,ゴン	soak, wet; tolerate, be lenient
韓	韩	韓	hán	いげた,から	カン,ガン	fence; surname; Korea
憾	憾	憾	hàn	うらむ,うらみ	カン,ゴン,タン,ドン	to regret, remorse; dissatisfied
扞	捍	捍	hàn	ふせぐ	カン,ガン	ward off, withstand, resist
撼	撼	撼	hàn	うごかす,うごく	カン,ゴン	move, shake; (Cant.) to fight
旱	旱	旱	hàn	ひでり	カン	drought; dry; dry land
漢	汉	漢	hàn	から	カン,タン	the Chinese people, Chinese language
汗	汗	汗	hàn	あせ,あせする	カン,ガン	perspiration, sweat
翰	翰	翰	hàn	やまどり,はね,ふで	カン,ガン	writing brush, pen, pencil
喊	喊	喊	hǎn	さけぶ	カン	shout, call out, yell; howl; cry
罕	罕	罕	hǎn	まれ	カン	rare, scarce; surname
酣	酣	酣	hān	たけなわ	カン,ガン,コン	enjoy intoxicants
鼾	鼾	鼾	hān	いびき	カン,ガン	snore loudly
杭	杭	杭	háng	わたる,くい	コウ,ゴウ	cross stream; navigate
航	航	航	háng	わたる	コウ,ゴウ	sail; navigate; ship, boat
壕	壕	壕	háo	ほり	ゴウ,コウ	trench, ditch, channel, moat
毫	毫	毫	háo	すこし	コウ,ゴウ	fine hair; measure of length
豪	豪	豪	háo	やまあらし	ゴウ,コウ	brave, heroic, chivalrous
号	号	號	hào	さけぶ,よびな,よぶ	ゴウ,コウ,キョウ	mark, sign; symbol; number
昊	昊	昊	hào	そら	コウ,ゴウ	summer time; sky; heaven
浩	浩	浩	hào	ひろい,おおきい	コウ	great, numerous, vast, abundant
皓	皓	皓	hào	ひかる,しろい	コウ,ゴウ,カイ,ケ	bright, luminous; clear; hoary
耗	耗	耗	hào	へる	モウ,コウ,ボウ	consume, use up; waste, squander
好	好	好	hǎo	このむ,すく,よい,よし	コウ	good, excellent, fine; well
何	何	何	hé	なに,なんぞ,いずく,なん,いくばく,いずれ	カ,ガ	what, why, where, which, how
劾	劾	劾	hé	さばく,しらべが,つとめる	ガイ,カイ,コク,ゴク	examine into, impeach, charge
合	合	合	hé	あう,あわせる,あわす	ゴウ,カツ,ガツ,ガッ,カッ,コウ	combine, unite, join; gather
和	和	和	hé	やわらぐ,なごむ,なごやか,やわらげる,あえる	ワ,カ,オ	harmony, peace; peaceful, calm
核	核	核	hé	さね	カク,カイ,コツ,ギャク,ゴク,ゴチ	seed, kernel, core, nut; atom
河	河	河	hé	かわ	カ,ガ	river; stream; the Yellow River
盒	盒	盒	hé	ふたもの,さら	コウ,ゴウ,アン,オン	small box or case; casket
禾	禾	禾	hé	いね,のぎ,のぎへん	カ,ワ	grain still on stalk; rice plant
荷	荷	荷	hé	に,になう,はす	カ	lotus, water lily; Holland
閡	阂	閡	hé	しめる	ガイ,カイ,コク,ゲ	blocked or separated; to prevent
褐	褐	褐	hè	ぬのこ,かち	カツ,カチ	coarse woolen cloth; dull, dark
賀	贺	賀	hè	よろこぶ,いわう	ガ,カ	congratulate; send present
赫	赫	赫	hè	あかい,かがやく,おどす	カク,キャク,シャク,ケ,カ,セキ,ケキ	bright, radiant, glowing
鶴	鹤	鶴	hè	つる	カク	crane; Grus species (various)
呵	呵	呵	hē	しかる,わらう	カ,ガ,ア	scold; laughing sound; yawn
喝	喝	喝	hē	しかる	カツ,アイ	drink; shout, call out
嘿	嘿	嘿	hēi	しずか,だまる,あぎむく	ボク,モク,コク	be silent, be quiet
黒	黑	黑	hēi	くろい,くろ	コク	black; dark; evil
痕	痕	痕	hén	あと	コン,ギン,ゴン	scar; mark; trace
恨	恨	恨	hèn	うらむ,うらめしい,うらみ,うらむらくは	コン,ゴン	hatred, dislike; resent, hate
很	很	很	hěn	もとる	コン,ゴン	very, quite, much
狠	狠	狠	hěn	もとる	ガン,コン,ゲン,ギン,ゴン	vicious, cruel; severely, extreme
恒	恒	恆	héng	つね,つねに	コウ,ゴウ	constant, regular, persistent
桁	桁	桁	héng	けた	コウ,ギョウ,ゴウ	cross-beams of roof
横	横	橫	héng	よこ,よこたわる,よこたえる,よこぎる	オウ,コウ	across
衡	衡	衡	héng	はかり,はかる	コウ,ギョウ,オウ	measure, weigh, judge, consider
亨	亨	亨	hēng	たてまつる,とおる	キョウ,コウ,ホウ,ヒョウ	smoothly, progressing, no trouble
哼	哼	哼	hēng	おびえる	コウ,キョウ	hum; sing softly; groan, moan; (Cant.) an interjecting indicating disapproval
宏	宏	宏	hóng	ひろい,ひろ	コウ,ゴウ	wide, spacious, great, vast
弘	弘	弘	hóng	ひろい,ひろめる,ひろむ	コウ,グ	enlarge, expand; liberal, great
洪	洪	洪	hóng	おうみず	コウ,グ	vast, immense; flood, deluge
紅	红	紅	hóng	べに,くれない,あかい,あか,もみ	ク,コウ,グ	red, vermillion; blush, flush
紘	纮	紘	hóng	おおずな,ひも	コウ,ギョウ	string; vast, expansive
虹	虹	虹	hóng	にじ	コウ,ゴウ,グ	rainbow
鴻	鸿	鴻	hóng	おおとり,ひしくい	コウ,グ	species of wild swan; vast
哄	哄	哄	hōng	こえ,たぶらかす	コウ,キョウ,グ,ク	coax; beguile, cheat, deceive
烘	烘	烘	hōng	かがりび	コウ,グ,キョウ,ク	bake, roast; dry by fire
轟	轰	轟	hōng	とどろき,とどろく	ゴウ,コウ	rumble, explosion, blast
侯	侯	侯	hóu	まと,きみ	コウ,ゴ	marquis, lord; target in archery
喉	喉	喉	hóu	のど	コウ,ゴ	throat, gullet, larynx; guttural
猴	猴	猴	hóu	さる	コウ,ゴ	monkey, ape; monkey-like
候	候	候	hòu	そうろう,うかがう,さぶらう,まつ	コウ,ゴ	wait; expect; visit; greet
厚	厚	厚	hòu	あつい	コウ,グ	thick; substantial; greatly
后	后	後	hòu	きみ,きさき,あと,のち	コウ,ゴ	queen, empress, sovereign; (simp. for 後) behind, rear, after
後	後	後	hòu	おくれる,のち,あと,うしろ,しり	ゴ,コウ	behind, rear, after; descendents
吼	吼	吼	hǒu	ほえる	コウ,ク	roar, shout; bark, howl
壺	壶	壺	hú	つぼ	コ,ゴ	jar, pot, jug, vase; surname
弧	弧	弧	hú	きゅみ	コ,ク,オ,ウ	wooden bow; arc, crescent
湖	湖	湖	hú	みずうみ	コ,ゴ	a lake; Hubei, Hunan; bluish-green
狐	狐	狐	hú	きつね	コ,ゴ	fox
瑚	瑚	瑚	hú		コ,ゴ	coral; person of virtue
糊	糊	糊	hú	のり	コ,ゴ,コツ,コチ	paste, stick on with paste
胡	胡	胡	hú	なんぞ,えびす	コ,ゴ,ウ	recklessly, foolishly; wildly
蝴	蝴	蝴	hú		コ,ゴ	butterfly
醐	醐	醐	hú		コ,ゴ	purest cream
互	互	互	hù	たがい,たがいに	ゴ,コ	mutually, reciprocally
冱	沪	滬	hù	こおる,ひえる,さえる	ゴ,コ	freezing; stopped up, closed off
戸	户	户	hù	と,へ	コ	door; family
護	护	護	hù	まもる	ゴ,コ	protect, guard, defend, shelter
瓠	瓠	瓠	hù	ひさご,ふくべ	コ,カク,ゴ,ワク	bottle gourd; calabash; pot
笏	笏	笏	hù	しゃく	コツ,ブン,ブツ,コチ,モチ,モン	tablet held by someone having authority
琥	琥	琥	hǔ		コ,ク	jewel in shape of tiger; amber
虎	虎	虎	hǔ	とら	コ,ク	tiger; brave, fierce; surname
乎	乎	乎	hū	よ,かな,か,を,ああ,や	コ,オ,ゴ	interrogative or exclamatory final particle
呼	呼	呼	hū	よぶ	コ,カ,ク,コウ,キョウ	breathe sigh, exhale; call, shout
忽	忽	忽	hū	ゆるがせに,たちまち,ゆるがせにする,ゆるがせにす	コツ,コチ	suddenly, abruptly; neglect
惚	惚	惚	hū	ほれる,ほうける,ぼける	コツ,コチ	absent-minded, confused
華	华	華	huá	はな,はなやか	カ,ケ,カイ,ゲ	flowery; illustrious; Chinese
滑	滑	滑	huá	なめらか,すべる,みだす	カツ,コツ,ゲチ,コチ	slip, slide; slippery, polished
猾	猾	猾	huá	わるがしこ,わるがしこい	カツ,ゲチ	crafty, cunning, shrewd; deceitful
划	划	劃	huà	さおさす,かま,さく,いましめる	カ,ゲ	to row or paddle boat; to scratch
化	化	化	huà	ばける,かわる,ばかす,かえる	カ,ケ,ガ	change, convert, reform; -ize
樺	桦	樺	huà	かば	カ	type of birch
画	画	畫	huà	かぎる,はかる,はかりごと,え,えがく	ガ,カク,カイ	a painting, picture, drawing; to draw
話	话	話	huà	はなす,はなし	ワ,カイ,エ,カ,ゲ	speech, talk, language; dialect
嘩	哗	譁	huā	かまびすし,やかましい,かまびすしい	カ,ケ	rushing sound; gush forward
嘩	哗	譁	huā	かまびすし,やかましい,かまびすしい	カ,ケ	rushing sound; gush forward
花	花	花	huā	はな	カ	flower; blossoms
徊	徊	徊	huái	さまよう	カイ,エ	linger, walk to and fro, hesitate
懐	怀	懷	huái	なつく,ふところ,おもう,なつかしい,なつかしむ,なつける,いだく,おもい,こころ,ふところにする	カイ,エ	bosom, breast; carry in bosom
槐	槐	槐	huái	えんじゅ	カイ,エ	locust tree
淮	淮	淮	huái	ひとしくする,かこむ	ワイ,カイ,エ	river in Anhui province
踝	踝	踝	huái	くるぶし	カ,ゲ	ankle
壊	坏	壞	huài	こわす,やぶる,こわれる	カイ,エ,ケ	bad, spoil(ed), ruin, destroy
坏	坏	壞	huài	おか,つき	ハイ,カイ,ヘ	rotten, spoilt, bad, broken down
桓	桓	桓	huán	たけしい,めぐる,うれえる	カン,ガン	variety of tree; surname
環	环	環	huán	たまき,わ,めぐる	カン,ゲン	jade ring or bracelet; ring
鐶	锾	鍰	huán	わ	カン,ゲン,セン,ゼン	metal ring; measure of currency
喚	唤	喚	huàn	よぶ,わめく	カン	call, summon; invite; be called
宦	宦	宦	huàn	つかえる,まなぶ,つかさ	カン,ゲン	officialdom, government official
幻	幻	幻	huàn	まぼろし	ゲン,カン,キョウ	illusion, fantasy, mirage
患	患	患	huàn	わずらう,うれえる,うれい,わずらい	カン,ゲン	suffer, worry about; suffering
換	换	換	huàn	かえる,かわる	カン,ガン	change, exchange; substitute
煥	焕	煥	huàn	あきらか	カン	shining, brilliant, lustrous
瘓	痪	瘓	huàn	やむ	タン	paralysis, numbness of limbs
緩	缓	緩	huǎn	ゆるい,ゆるやか,ゆるむ,ゆるめる	カン,ケン	slow, leisurely; to postpone, delay
歓	欢	歡	huān	よろこぶ,よろこび	カン	happy, pleased, glad; joy; enjoy
凰	凰	凰	huáng	おおとり	コウ,オウ	female phoenix
惶	惶	惶	huáng	おそれる	コウ,オウ	fearful, afraid, anxious, nervous
煌	煌	煌	huáng	かがやく,きらめく	コウ,オウ	bright, shining, luminous
皇	皇	皇	huáng	かみ,きみ,すめらぎ,すめら	コウ,オウ	royal, imperial; ruler, superior
蝗	蝗	蝗	huáng	いなご	コウ,エイ,オウ,ギョウ,ヨウ	kind of locust
黄	黄	黃	huáng	き,こ	コウ,オウ	yellow; surname
幌	幌	幌	huǎng	ほろ,とばり	コウ,オウ	curtain, cloth screen
恍	恍	恍	huǎng	ほのか,うっとりする,くらい	コウ	seemingly; absent-minded
晃	晃	晃	huǎng	あきらか	コウ,オウ	bright, dazzling; to sway, shake
謊	谎	謊	huǎng	いつわる,ねごと	コウ,キョウ	lie
慌	慌	慌	huāng	あわてる,あわただし,くらい,あわただしい	コウ	nervous, panicky, frantic
荒	荒	荒	huāng	あれる,あらい,あらす,すさむ,あれ	コウ	wasteland, desert; uncultivated
回	回	回	huí	まわす,まわる,かえる,たがう	カイ,エ,ウイ	return, turn around; a time
廻	回	回	huí	めぐる,まわる,めぐり	カイ,エ	circle around; return; curving
会	会	會	huì	あう,あつまる,え	カイ,エ,カツ	assemble, meet together; meeting
彙	汇	匯	huì	はりねずみ,あつまる,たぐい	イ	collect, compile, assemble; hedgehog
彗	彗	彗	huì	ほうき	スイ,ケイ,エ,セイ,エイ,ゼ,セ,イ,ズイ	broomstick; comet
恵	惠	惠	huì	めぐむ,めぐみ	ケイ,エ	favor, benefit, confer kindness
慧	慧	慧	huì	さとい	ケイ,エ	bright, intelligent; intelligence
晦	晦	晦	huì	みそか,くらい	カイ,ケ	dark, unclear, obscure; night
穢	秽	穢	huì	けがれる,けがれ,あれる,けがす	アイ,ワイ,エ	dirty, unclean; immoral, obscene
絵	绘	繪	huì	え	カイ,エ	draw, sketch, paint
諱	讳	諱	huì	いむ,いみな	キ	conceal; shun; regard as taboo
賄	贿	賄	huì	まかなう,まいなう,まかない,まいない	ワイ,カイ	bribe; riches, wealth
悔	悔	悔	huǐ	くいる,くやむ,くやしい,くやみ	カイ	repent, show remorse, regret
毀	毁	毀	huǐ	こぼつ,そしる,やせる,やぶる	キ	destroy, ruin, injure; slander
徽	徽	徽	huī	よい,しるし	キ	a badge, insignia
恢	恢	恢	huī	ひろい	カイ,キ,ケ	restore; big, great, immense, vast
揮	挥	揮	huī	ふるう	キ,クン,コン,ゴン	direct; wipe away; squander
暉	晖	暉	huī	かがやく,ひかり	キ	sunshine; light, bright, radiant
灰	灰	灰	huī	はい	カイ,ケ	ashes; dust; lime, mortar
輝	辉	輝	huī	かがやく,かがやき,てる	キ,クン	brightness, luster, brilliance
渾	浑	渾	hún	にごる,すべて	コン,ゴン	muddy, turbid; blend, merge, mix
魂	魂	魂	hún	たましい	コン,ゴン	soul, spirit
混	混	混	hùn	まぜる,まじる,まざる	コン,ゴン	to mix, blend, mingle; to bumble along
婚	婚	婚	hūn	えんぐみ	コン	get married; marriage, wedding
昏	昏	昏	hūn	くらい,くれ	コン	dusk, nightfall, twilight, dark
葷	荤	葷	hūn	なまぐさ	グン,クン	meat diet; strong smelling
活	活	活	huó	いきる,よみがえる,いかす	カツ,ガチ	live, exist, survive; lively
惑	惑	惑	huò	まどう,まどい	ワク,コク	confuse, mislead, baffle; doubt
或	或	或	huò	ある,あるいは	ワク,イキ,コク,ヨク	or, either, else; perhaps, maybe
穫	获	獲	huò	かる,とりいれる	カク,ワク,コ,ゴ	harvest, cut grain
獲	获	獲	huò	える	カク,ワク,コ,カ,ゲ,ゴ	obtain, get, receive; seize
禍	祸	禍	huò	わざわい	カ	misfortune, calamity, disaster
貨	货	貨	huò	たから	カ	goods, commodities, products
霍	霍	霍	huò	にわか	カク,ガク,ラク	quickly, suddenly; surname
伙	伙	夥	huǒ	ひ,ほ	カ	companion, colleague; utensils
火	火	火	huǒ	ひ,やく,ほ	カ,コ	fire, flame; burn; anger, rage
豁	豁	豁	huō	ひらける,ひろい	カツ,カチ	open up, clear; exempt
即	即	即	jí	つく,すなわち,もし	ソク,ショク	promptly, quickly, immediately
及	及	及	jí	およぶ,および,およぼす	キュウ	extend; reach; come up to; and
吉	吉	吉	jí	よい	キチ,キツ	lucky, propitious, good
嫉	嫉	嫉	jí	ねたむ,にくむ	シツ,ジチ,ジ,シ	jealousy; be jealous of
急	急	急	jí	いそぐ,きびしい	キュウ,コウ	quick, quickly; urgent, pressing
極	极	極	jí	きわめる,むね,きわまる,きわみ,きわめて,きまる,きめる	ゴク,キョク,ゴキ,ケキ,キャク	extreme, utmost, furthest, final
棘	棘	棘	jí	いばら,とげ	キョク,コキ,キ	jujube tree; thorns, brambles
汲	汲	汲	jí	くむ,くみ	キュウ	draw water from well; imbibe
疾	疾	疾	jí	やまい,にくむ,はやい,やむ	シツ,ジチ	illness, disease, sickness; to hate
笈	笈	笈	jí	おい	キュウ,ゴウ,ギュウ,キョウ,ソウ	bamboo box used carry books
籍	籍	籍	jí	ふみ	セキ,シャク,ジャク,シャ	record, register, list; census
級	级	級	jí	しな	キュウ	level, rank, class; grade
耤	藉	藉	jí	かりる	セキ,ジャク,シャ,ジャ	plough
輯	辑	輯	jí	あつめる,やわらぐ	シュウ,ジュウ,ショ,ショウ	gather up, collect; edit, compile
集	集	集	jí	あつまる,つどう,あつめる	シュウ,ジュウ	assemble, collect together
伎	伎	伎	jì	わざ	キ,ギ,シ	talent, skill, ability
偈	偈	偈	jì	いこう	ケツ,ケイ,ゲ,ゲチ	brave; martial; hasty; scudding
冀	冀	冀	jì	こいねがう,こいねがわ,こいねがわくは	キ	hope for; wish; Hebei province
剤	剂	劑	jì	そろえる,まぜる	ザイ,スイ,セイ	medicinal preparation
妓	妓	妓	jì	わざおぎ	キ,ギ	prostitute
季	季	季	jì	すえ,とき	キ	quarter of year; season; surname
寂	寂	寂	jì	さびしい,さび,さびれる,しずか	ジャク,セキ	still, silent, quiet; desolate
寄	寄	寄	jì	よる,よせる,よせ	キ	send, transmit, mail; rely on
忌	忌	忌	jì	いむ,いまわしい,いみ	キ,ギ	jealous, envious; fear
技	技	技	jì	わざ	ギ,キ	skill, ability, talent, ingenuity
既	既	既	jì	つきる,すでに	キ	already; de facto; since; then
済	济	濟	jì	すむ,わたる,すくう,すます,なす,わたし	サイ,セイ,ザイ	help, aid, relieve; ferry, cross
祭	祭	祭	jì	まつる,まつり	サイ,セイ	sacrifice to, worship
紀	纪	紀	jì	おさめる,のり,しるす	キ	record, annal, historical account
継	继	繼	jì	つぐ,つぎ,まま	ケイ,キ	continue, maintain, carry on
績	绩	績	jì	つむぐ,いさお,うむ	セキ,シャク	spin; achievements
薺	荠	薺	jì	なずな	セイ,ザイ,シ,ジ	water-chestnuts; caltrop
薊	蓟	薊	jì	あざみ	ケイ,カイ,ケツ,ケ,ケチ	genus Cirsium, thistles; surname
計	计	計	jì	はかる,かぞえる,はかりごと,はからう,はか	ケイ,カイ,ケツ,ケチ	plan, plot; stratagem; scheme
記	记	記	jì	しるす,しるし	キ	record; keep in mind, remember
跡	迹	跡	jì	あと	セキ,シャク	search, track, trace
際	际	際	jì	きわ,まじわる,あい	サイ,セイ	border, boundary, juncture
髻	髻	髻	jì	もとどり,みずら,たぶさ	ケイ,キツ,キチ,ケツ,ゲチ	hair rolled up in a bun, topknot
幾	几	幾	jǐ	いく,きざし,ちかい,ほとんど	キ,ケ,ゲ	how many? how much?; a few, some
己	己	己	jǐ	おのれ,つちのと,すでに,やむ,のみ	キ,コ,イ	self, oneself; personal, private; 6th heavenly stem
戟	戟	戟	jǐ	ほこ	ゲキ,ケキ,キャク	halberd with crescent blade
擠	挤	擠	jǐ	おす	セイ,サイ	crowd, squeeze, push against
脊	脊	脊	jǐ	せ,せい	セキ,シャク	spine, backbone; ridge
撃	击	擊	jī	うつ	ゲキ,ケキ	strike, hit, beat; attack, fight
圾	圾	圾	jī	あやうい	ギュウ,ゴウ,ショク,セイ	garbage, rubbish; shaking; danger
基	基	基	jī	もとい,もと,もとずく,もとづく	キ	foundation, base
姫	姬	姬	jī	ひめ	キ,シン,イ	beauty; imperial concubine
機	机	機	jī	はた,からくり,おり,きざし,はずみ	キ,ケ	machine; moment, chance
机	机	機	jī	つくえ	キ,ガイ	desk; machine; moment
激	激	激	jī	はげしい,はげしく,はげます	ゲキ,ケキ,キョウ,キャク	arouse, excite, incite; quickly
璣	玑	璣	jī	たま	キ,ケ,ゲ,ギ	pearl that is not quite round
畿	畿	畿	jī	みやこ	キ,ゲ	imperial domain; area near capital
磯	矶	磯	jī	いそ	キ,ゲ,カイ,ケ	jetty; submerged rock; eddy
積	积	積	jī	つむ,つもる	セキ,シ,シャク	accumulate, store up, amass
稽	稽	稽	jī	とどめる,かんがえる	ケイ	examine, investigate; delay
笄	笄	笄	jī	こうがい	ケイ	a hairpin; fifteen-year-old girl
箕	箕	箕	jī	み	キ	sieve; dust pan, garbage bag; 7th lunar mansion, determinative star γ² Sagittarii (Alnasl)
緝	缉	緝	jī	つむぐ	シュウ	to sew in close stitches
肌	肌	肌	jī	はだ	キ,ケ	muscle tissue; meat on bones
譏	讥	譏	jī	そしる	キ	ridicule, jeer, mock; inspect
蹟	蹟	蹟	jī	あと	セキ,シャク	trace, tracks; footprints
鶏	鸡	雞	jī	にわとり,とり	ケイ	chicken
飢	饥	飢	jī	うえる	キ	hunger, starving; hungry; a famine
莢	荚	莢	jiá	さや	キョウ	pods of leguminous plants; pods
鋏	铗	鋏	jiá	つるぎ,つか,はさみ	キョウ	tongs, pincers; dagger; sword
頰	颊	頰	jiá	ほお	キョウ	cheeks, jaw
价	价	價	jià	よい,おおきい,つかい	カイ	price, value
嫁	嫁	嫁	jià	とつぐ,よめ	カ,ケ	to marry, give a daughter in marriage
架	架	架	jià	かける,たな,かかる	カ,ケ	rack, stand, prop; prop up
稼	稼	稼	jià	みのり,うえる,かせぐ	カ,ケ	sow grain; sheaves of grain
駕	驾	駕	jià	のる,しのぐ	ガ,カ,ケ	to drive, sail, fly; a cart, carriage
假	假	假	jiǎ	かり	カ,ケ	falsehood, deception; vacation
岬	岬	岬	jiǎ	みさき	コウ	cape; promontory, headland
甲	甲	甲	jiǎ	よろい,つめ,きのえ,かぶと	コウ,カン	armor, shell; fingernails; 1st heavenly stem
賈	贾	賈	jiǎ	あきなう,あきない,うる,かう	コ,カ,ク,ケ	surname; merchant; buy, trade
伽	伽	伽	jiā	とぎ	キャ,カ,ガ	transcription of Sanskrit 'gha' in Buddhist texts ('samgha', etc.); nursing; attending; entertainer (Japanese); temple; in Chinese this character is not used alone
佳	佳	佳	jiā	よい	カ,カイ,ケイ	good, auspicious; beautiful; delightful
加	加	加	jiā	くわえる,くわわる,くわえて	カ,ケ	add to, increase, augment
嘉	嘉	嘉	jiā	よみする,よい	カ,ケ,ゲ	excellent; joyful; auspicious
夾	夹	夾	jiā	はさむ	コウ,キョウ	be wedged or inserted between
家	家	家	jiā	いえ,や,うち,いえする	カ,ケ,コ	house, home, residence; family
枷	枷	枷	jiā	からざお,かせ,くびかせ	カ,ケ,ガ,キャ	cangue scaffold
珈	珈	珈	jiā		カ,ケ	an ornament attached to a woman's hairpin
茄	茄	茄	jiā	なす	カ	eggplant
袈	袈	袈	jiā		カ,ケ	Buddhist cassock
迦	迦	迦	jiā	くらべる,であう	カ,ケ,カイ,キャ,ゲ	character for transliteration
件	件	件	jiàn	くだり,くだん	ケン	numerary adjunct for article; matter
健	健	健	jiàn	すこやか,たけし,したたか	ケン,ゲン,ゴン	strong, robust, healthy; strength
剣	剑	劍	jiàn	つるぎ	ケン	sword, dagger, saber
建	建	建	jiàn	たてる,たつ	ケン,コン	build, establish, erect, found
漸	渐	漸	jiàn	すすむ,ようやく	ゼン,セン,ザン,サン,セツ,セチ	gradually; hexagram ䷴
濺	溅	濺	jiàn	そそぐ	セン,サン	sprinkle, spray; spill, splash
箭	箭	箭	jiàn	や	セン	arrow; type of bamboo
腱	腱	腱	jiàn	けん	ケン,キン,ゴン,ゲン,コン	tendons
艦	舰	艦	jiàn	いくさぶね	カン,ガン	warship
薦	荐	薦	jiàn	すすめる,くさよもぎ,こも,しきりに	セン,シン	offer, present; recommend
見	见	見	jiàn	みる,みえる,まみえる,みせる,あらわれる	ケン,ゲン,カン	see, observe, behold; perceive; Kangxi radical 147
