japaneseChar	simpChineseChar	tradChineseChar	pinyin	kunyomi	onyomi	englishMeaning
燗				かん,かんする	ラン,カン	warming sake, to heat sake
狆				ちん	チュウ	Pekinese dog, lap dog, pug; pup
狛				こま	ハク,ハ,ヘキ,ビャク,ヒャク,ベ	lion-dog shrine guardians
狢				むじな	カク,バク	animal name
瑳				みがく	サ	luster of gem; lustrous, bright
畑				はた,はたけ		dry (as opposed to rice) field; used in Japanese names
畷				なわて	テツ,テチ,テイ,テ,セイ,セ	raised path between fields
癒				いえる,いやす	ユ	get well, recover
癪				しゃく,さしこみ	シャク	spasms, convulsions, hysteria; (Cant.) infantile malnutrition
畠				はた,はたけ		garden, field, farm, plantation
皐				さわ,さかい,さつき	コウ	the high land along a river
皹				ひび,あかぎれ	クン,キン	crack, chap
穂				ほ	スイ	ear of grain; tassel; Guangzhou
穣				ゆたか,わら	ジョウ,ゼイ	stalks of grain; lush, abundant
竃				かまど,かま	ソウ	furnace; kitchen range
竜				たつ	リュウ,リョウ,ロウ,ボウ	dragon; symbolic of emperor
笘				むち	セン,チョウ,サン	whip; cane; wooden writing slate
筬				おさ	セイ,ジョウ	reed of a loom
箆				へら,の	ヘイ	fine-toothed comb; comb hair
箙				えびら	フク,ブク	quiver
簓				ささら	セン	a bamboo whisk; the broken end of a bamboo stalk
簗				やな	ヤナセ	a weir, fish trap, fish pond
籾				もみ		unhulled rice
糸				いと	シ,ベキ,ミャク	silk; Kangxi radical 120
縅				おどし,おどす		to threaten, intimidate
繰				くる,くり	ソウ,ショウ	to reel silk from cocoons
罠				あみ,わな	ビン,ミン	animal trap
罫				けい	ケイ,カイ,エ,ケ	hinder
膣					チツ,チチ	vagina
舎				やどる,いえ,おく,おる	シャ,セキ,シャク	house, dwelling; dwell, reside
舗				しく,みせ	ホ	store, shop
舩				ふね	セン	boat, ship, vessel
艀				はしけ	フ,フウ,ブ	a sampan, lighter, barge
蔵				くら,かくれる,おさめる	ゾウ,ソウ	hide, conceal; hoard, store up
薫				かおる,かおりぐさ,かおり	クン	a medicinal herb; to cauterize
蝋				みつろう,ろうそく,ろう	ロウ	wax; candle; waxy, glazed
蟇				ぶと,ひき	バ,マ	frog, toad
褄				つま		a skirt
襷				たすき		a cord for holding up sleeves
諌				いさめる,いさめ	カン,ケン,トウ,ツ	remonstrate, admonish
讃				ほめる	サン	praise, commend, eulogize
軽				かるい,かろやか,かろんじる,かるがるしい	ケイ,キョウ,キン	light; easy, simple; gentle
辿				たどる,たどり	テン	follow, pursue
醤				ひしお	ショウ	any jam-like or paste-like food
鉈				ほこ,なた	シャ,タ,ジャ,シ	a short spear; thallium (element 81, Tl)
鉋				かんな	ホウ,ビョウ,バク,ハク	carpenter's plane
鉾				ほこ,きつさき	ボウ,ム	spear
銚				なべ,すき,ほこ	ヨウ,チョウ,ジョウ,ショウ	large hoe; surname; a spear
鋲				びょう		rivet
錬				ねる	レン,トウ,ツ,カン	smelt metals
鎬				なべ,しのぎ	コウ,ゴウ	stove; bright
鎹				かすがい		a clamp
鐚				しころ,びた	ア	soft steel; ammonium
闘				たたかう,たたかい	トウ	struggle, fight, compete, contend
雫				しずく	ダ,ダン	a drop, trickle, dripping
霙				みぞれ	エイ,ヨウ,オウ	sleet
靫				うつぼ,ゆぎ	サイ,サ,セツ,シャ,サツ,サチ,セチ	strong and pliable, resilient
鞆				とも		an archer's arm-protector
頚				くび	ケイ	neck, throat
頬				ほお	キョウ	cheeks, jaw
駄				のせる	タ,ダ,タイ,ダイ	a horse load; a pack-horse
駅				うまや	エキ,ヤク	relay station
髱				たぼ	ホウ,ビョウ	a topknot, bun, coiled hair-knot
髷				まげ,わげ	キョク,コク	a topknot
鮴				ごり,めばる		bullhead; rockfish; razor clam; flathead; (kokuji)
鯣				するめ	エキ,ヤク	a cuttlefish
鯱				しゃち,しゃちほこ	コ	mythical dolphin-like fish
鰊				にしん	レン	a herring
鰯				いわし		a sardine
鱚				きす		sillaginoid; (kokuji)
鱶				ひもの,ふか	ショウ	a shark
鴎				かもめ	オウ,オ,ク,イウ,ウ	seagull, tern
鵠				くぐい,まと	コク,コウ,ゴク,カク,ゴウ	target
鵺				ぬえ	ヤ	fabulous night bird; chimera
麺				むぎこ,めん	メン,ベン	flour, dough, noodles
啊	啊	啊	a	こえ	ア	exclamatory particle
阿	阿	阿	ā	くま,おもねる,お	ア,アク,アチ,オク	prefix for people's names; used in transliteration
癌	癌	癌	ái	がん	ガン	cancer; marmoset
愛	爱	愛	ài	めでる,おしむ,いとしい,かなしい	アイ,エ	love, be fond of, like
曖	暧	曖	ài	くらい	アイ	obscure, dim, ambiguous, vague
碍	碍	礙	ài	さまたげる	ガイ,ゲ,ギ	obstruct, hinder, block, deter
艾	艾	艾	ài	よもぎ,もぐさ,かる,おさめる	ガイ,ゲイ,ゲ	artemisia, mugwort
隘	隘	隘	ài	せまい	アイ,ヤク,ア,アク	narrow, confined; a strategic pass
矮	矮	矮	ǎi	ひくい	ワイ,アイ,ア	short, dwarf; low
藹	蔼	藹	ǎi	おおい,まめまめしい	アイ,アツ,アチ	lush; affable, friendly
靄	霭	靄	ǎi	もや	アイ,アツ,アチ	cloudy sky, haze; calm, peaceful
哀	哀	哀	āi	あわれ,あわれむ,かなしい	アイ	sad, mournful, pitiful; pity
哎	哎	哎	āi		ガイ,アイ	interjection of surprise
唉	唉	唉	āi	ああ,ああおお,いやいやこたえる,あくび,おくび	カイ,キ,アイ,イ	alas, exclamation of surprise or pain
埃	埃	埃	āi	ちり,ほこり	アイ,チ,ジ	fine dust, dirt
挨	挨	挨	āi	ひらく	アイ	near, close by, next to, towards, against; to wait; to lean on
岸	岸	岸	àn	きし	ガン	bank, shore; beach, coast
按	按	按	àn	おさえる,しらべる	アン,アツ,アチ	put hand on, press down with hand
暗	暗	暗	àn	くらい,やみ	アン,オン	dark; obscure; in secret, covert
案	案	案	àn	つくえ,かんがえる,あんず	アン	table, bench; legal case
闇	闇	闇	àn	とじる,くらい,やみ	アン,オン,イン	close, shut; dark, dismal
黯	黯	黯	àn	くろい,くらい	アン,オン	dark, black; sullen, dreary
俺	俺	俺	ǎn	おれ	エン,ヨウ,アン	personal pronoun, I
安	安	安	ān	やすい,やすんじる,いずくんそ,いずくに,いずくにか,いずくんぞ	アン	peaceful, tranquil, quiet
庵	庵	庵	ān	いおり	アン,オウ	Buddhist monastery or nunnery
鞍	鞍	鞍	ān	くら	アン	saddle; any saddle-shaped object
昂	昂	昂	áng	あがる,たかい	コウ,ゴウ,ギョウ	rise, raise; proud, bold; upright
熬	熬	熬	áo	いる	ゴウ	cook down, to boil; endure
傲	傲	傲	ào	おごる,あなどる	ゴウ	proud, haughty, overbearing
奥	奥	奧	ào	おく,くま	オウ,イク,ユウ,サン,オク	mysterious, obscure, profound
澳	澳	澳	ào	くま,おき	イク,オク,オウ	inlet, bay; dock, bank
襖	袄	襖	ǎo	あお,ふすま	オウ	outer garments; coat, jacket
凹	凹	凹	āo	くぼむ,くぼみ,へこむ,ぼこ	オウ,ヨウ	concave, hollow, depressed; a pass, valley
吧	吧	吧	ba	おおくちのさま	ハ,ヘ	emphatic final particle
抜	拔	拔	bá	ぬく,ぬける,ぬかす,ぬかる	バツ,ハツ,ハイ	uproot, pull out
跋	跋	跋	bá	ふむ,おくがき	バツ,ハツ,バチ,ハイ	go by foot; epilogue, colophon
壩	坝	壩	bà	るせき,いせき	ハ,ヘ	embankment; dam
爸	爸	爸	bà	ちち	ハ,バ,ヘ	father, papa
罷	罢	罷	bà	やめる,つかれる,まかる	ヒ,ハイ,ベ,ビ,ヒキ,ハ,ヒョク	cease, finish, stop; give up
覇	霸	霸	bà	はたがしら	ハ,ハク	rule by might rather than right
把	把	把	bǎ	つか,たば,とる,わ	ハ,ヘ,ベ	hold, take; guard; regard as
八	八	八	bā	やつ,やたび,や,やっつ,よう	ハチ,ハツ,ハイ,ハ	eight; all around, all sides
叭	叭	叭	bā		ハツ,ハ,ハチ	trumpet
巴	巴	巴	bā	ともえ	ハ,ヘ	greatly desire, anxiously hope
扒	扒	扒	bā	ぬく,さばく	ハイ,ハツ,ハチ,ヘ,ヘツ,ヘチ	scratch; dig up; crawl; crouch
疤	疤	疤	bā	やまい	ハ,ヘ	scar, cicatrix; birthmark
芭	芭	芭	bā	はな	バ,ハ,ヘ	plantain or banana palm; fragrant
白	白	白	bái	しろ,しろい,もうす,しら,しらげる,しらむ	ハク,ビャク,ベ,ハ,ヒャク,シ,ジ	white; pure, unblemished; bright
拝	拜	拜	bài	おがむ	ハイ	do obeisance, bow, kowtow
敗	败	敗	bài	やぶれる,やぶる,まける	ハイ,バイ,ベ	be defeated, decline, fail
稗	稗	稗	bài	ひえ	ハイ,ヒ,ベ	darnels, weeds, tares small
擺	摆	擺	bǎi	ひらく	ハイ,ベ	put, place; display; swing, sway
百	百	百	bǎi	もも	ヒャク,ハク,バク,ミャク	one hundred; numerous, many
	掰	掰	bāi			(Cant.) to tear, to rip
伴	伴	伴	bàn	ともなう,とも	ハン,バン	companion, comrade, partner; accompany
辦	办	辦	bàn	つとめる,あつかう,さばく,そなえる,ととのえる	ハン,ベン	manage, do, handle; deal with
半	半	半	bàn	なかば,なかばする	ハン	half
扮	扮	扮	bàn	よそおう	フン,ハン,ヘン,ケ,ブン,カイ	dress up; dress up as
拌	拌	拌	bàn	すてる,わる,かきまぜる	ハン,バン	mix
瓣	瓣	瓣	bàn	はなびら,さね,かんむり	ベン,ハン,ヘン	petal; segment; valves
絆	绊	絆	bàn	きずな,つなぐ,ほだし,ほだす	バン,ハン	loop, catch; fetter, shackle
坂	坂	坂	bǎn	さか	ハン,ヘン,ホン,ベン	hillside, inconvenient places
阪	坂	坂	bǎn	さか	ハン,ホン,バン	hillside farmland; slope
板	板	板	bǎn	いた	ハン,バン,ベン	plank, board; iron or tin plate
版	版	版	bǎn	いた,ふだ	ハン,ヘン,バン	printing blocks; edition
搬	搬	搬	bān	うつす,はこぶ	ハン,ソク	transfer, move, remove, shift
斑	斑	斑	bān	まだら	ハン	mottled, striped, freckle
班	班	班	bān	わける	ハン	class, group, grade; squad; job
般	般	般	bān	めぐる	ハン,バン,ハツ	sort, manner, kind, category
頒	颁	頒	bān	わける,しく	ハン,フン,ヘン,ブン	confer, bestow; publish, promulgate
傍	傍	傍	bàng	かたわら,そう	ボウ,ホウ,ビョウ	by side of, beside, near, close
棒	棒	棒	bàng	つえ	ボウ,ホウ	stick, club, truncheon; hit
磅	磅	磅	bàng	ぽんど	ホウ,ヒョウ,ポンド	pound; weigh
謗	谤	謗	bàng	そしる	ボウ,ホウ	slander, libel
鎊	镑	鎊	bàng	けずる	ハウ,ホウ	pound sterling; to scrape
榜	榜	榜	bǎng	たてふだ,かじ,ふだ,むち	ボウ,ホウ,ヒョウ,ビョウ	placard; list of successful exam candidates
綁	绑	綁	bǎng	しばる	ホウ	bind, tie, fasten
膀	膀	膀	bǎng	わきばら,ふくれる	ホウ,ボウ	upper arm; shoulder; wing
幇	帮	幫	bāng	たすける	ホウ	help, assist; defend; shoe upper
浜	浜	浜	bāng	はま	ヒン,ホウ,ヒョウ	creek, stream; beach, sea coast
邦	邦	邦	bāng	くに	ホウ	nation, country, state
雹	雹	雹	báo	ひょう	ハク,ホク,バク,ボク	hail
報	报	報	bào	しらせる,むくいる,むくい	ホウ,フ	report, tell, announce
抱	抱	抱	bào	いだく,だく,かかえる	ホウ	embrace, hold in arms, enfold
暴	暴	暴	bào	あばく,あばれる,にわか	ボウ,バク,ヒョク,ハク	violent, brutal, tyrannical
爆	爆	爆	bào	さける,やく,はぜる	バク,ホウ,ヒョウ,ハク,ホク,ボク	crackle, pop, burst, explode
豹	豹	豹	bào	ひょう	ホウ,ヒョウ	leopard, panther; surname
鮑	鲍	鮑	bào	あわび	ホウ,ビョウ,ヒョウ	abalone; dried fish; surname
保	保	保	bǎo	たもつ,やすんじる	ホ,ホウ	protect, safeguard, defend, care
堡	堡	堡	bǎo	とりで	ホウ,ホ	fort, fortress; town, village
宝	宝	寶	bǎo	たから	ホウ	treasure, jewel; precious, rare
飽	饱	飽	bǎo	あきる,あかす	ホウ	eat heartily; eat one's fill
鴇	鸨	鴇	bǎo	のがん,とき	ホウ	bustard; procuress; Otis species (various)
包	包	包	bāo	つつむ,つつみ	ホウ,ヒョウ	wrap, pack, bundle; package
胞	胞	胞	bāo	えな	ホウ,フウ	womb, placenta, fetal membrane
苞	苞	苞	bāo	つと	ホウ,ヒョウ	a variety of rush; firm, enduring; to burst forth
褒	褒	褒	bāo	ほめる	ホウ,ブ	praise, commend, honor, cite
薄	薄	薄	báo,bó	うすい,せまる,すすき,うすめる,うすまる,うすらぐ,うすれる	ハク,ヘキ,ホ	thin, slight, weak; poor, stingy
唄	呗	唄	bei	うた	バイ,ベ,ハイ	final particle of assertion
